	Experiment 1:		Using lmcut heuristic - 1 probe in 24 hours.

Domain                             ida*      ida* time       ss error        ss time              n

blocks                      1.78478e+06        2557.44       0.538076      0.0536471             35
barman-opt11-strips         5.43647e+06        13806.9       0.497172       0.173103              9
elevators-opt08-strips           133351        5130.24       0.428049        33.3971             29
elevators-opt11-strips           162140         5351.8       0.457297        32.1347             20
floortile-opt11-strips      2.32063e+06        4810.61       0.742761       0.856051             20
nomystery-opt11-strips           239836        2956.96       0.606275       0.795106             20
openstacks-opt08-adl                ---            ---            ---            ---            ---
openstacks-opt08-strips         73087.3        2502.73      0.0385161        68.8872             30
openstacks-opt11-strips         62942.4        2905.38       0.029271        70.8052             20
parcprinter-opt11-strips        51709.6        260.948       0.186755      0.0529412             15
parking-opt11-strips            95795.1        6140.15       0.595848        18.2931             20
pegsol-opt11-strips              411225        229.207       0.405196      0.0461818             20
scanalyzer-opt11-strips     1.32839e+06        4213.95        0.31503        10.5898             13
sokoban-opt08-strips        1.64941e+06         5596.1       0.358896           3.05             30
sokoban-opt11-strips        1.65964e+06        2770.13       0.277276         2.4425             20
tidybot-opt11-strips             167103        6802.32       0.811173        8.65074             20
transport-opt08-strips           358288        6230.56       0.354439        60.7236             28
transport-opt11-strips           153903        4302.67       0.355638        6.96002             19
visitall-opt11-strips        6.0264e+06        3820.53       0.605255       0.160971             18
woodworking-opt08-strips         675983         3796.5       0.412718        4.01208             27
woodworking-opt11-strips         867667        3322.08       0.430623        3.02923             18
