Experiment 2: sokoban-opt11-strips using gapdb_deep heuristic with 5000 probes



instance_name: p12_F_4.csv

A*:		{(0_gapdb, 1725),(1_gapdb, 1725),(2_ipdb, 861),(3_mands, 861),(4_lmcut, 861),(5_gapdb, 1725),(6_gapdb, 861),(7_gapdb, 1725),(8_gapdb, 861),(9_gapdb, 861),(10_gapdb, 1725),(11_gapdb, 861),(12_gapdb, 1725),}
ss:		{(0_gapdb, 103.038),(1_gapdb, 103.038),(2_ipdb, 53.054),(3_mands, 53.054),(4_lmcut, 53.054),(5_gapdb, 103.038),(6_gapdb, 53.054),(7_gapdb, 103.038),(8_gapdb, 53.054),(9_gapdb, 53.054),(10_gapdb, 103.038),(11_gapdb, 53.054),(12_gapdb, 103.038),}

Measure_1:

-A* h1/h2
	1	1	2.00348	2.00348	2.00348	1	2.00348	1	2.00348	2.00348	1	2.00348	1
	1	1	2.00348	2.00348	2.00348	1	2.00348	1	2.00348	2.00348	1	2.00348	1
	0.49913	0.49913	1	1	1	0.49913	1	0.49913	1	1	0.49913	1	0.49913
	0.49913	0.49913	1	1	1	0.49913	1	0.49913	1	1	0.49913	1	0.49913
	0.49913	0.49913	1	1	1	0.49913	1	0.49913	1	1	0.49913	1	0.49913
	1	1	2.00348	2.00348	2.00348	1	2.00348	1	2.00348	2.00348	1	2.00348	1
	0.49913	0.49913	1	1	1	0.49913	1	0.49913	1	1	0.49913	1	0.49913
	1	1	2.00348	2.00348	2.00348	1	2.00348	1	2.00348	2.00348	1	2.00348	1
	0.49913	0.49913	1	1	1	0.49913	1	0.49913	1	1	0.49913	1	0.49913
	0.49913	0.49913	1	1	1	0.49913	1	0.49913	1	1	0.49913	1	0.49913
	1	1	2.00348	2.00348	2.00348	1	2.00348	1	2.00348	2.00348	1	2.00348	1
	0.49913	0.49913	1	1	1	0.49913	1	0.49913	1	1	0.49913	1	0.49913
	1	1	2.00348	2.00348	2.00348	1	2.00348	1	2.00348	2.00348	1	2.00348	1

-ss h1/h2
	1	1	1.94213	1.94213	1.94213	1	1.94213	1	1.94213	1.94213	1	1.94213	1
	1	1	1.94213	1.94213	1.94213	1	1.94213	1	1.94213	1.94213	1	1.94213	1
	0.514897	0.514897	1	1	1	0.514897	1	0.514897	1	1	0.514897	1	0.514897
	0.514897	0.514897	1	1	1	0.514897	1	0.514897	1	1	0.514897	1	0.514897
	0.514897	0.514897	1	1	1	0.514897	1	0.514897	1	1	0.514897	1	0.514897
	1	1	1.94213	1.94213	1.94213	1	1.94213	1	1.94213	1.94213	1	1.94213	1
	0.514897	0.514897	1	1	1	0.514897	1	0.514897	1	1	0.514897	1	0.514897
	1	1	1.94213	1.94213	1.94213	1	1.94213	1	1.94213	1.94213	1	1.94213	1
	0.514897	0.514897	1	1	1	0.514897	1	0.514897	1	1	0.514897	1	0.514897
	0.514897	0.514897	1	1	1	0.514897	1	0.514897	1	1	0.514897	1	0.514897
	1	1	1.94213	1.94213	1.94213	1	1.94213	1	1.94213	1.94213	1	1.94213	1
	0.514897	0.514897	1	1	1	0.514897	1	0.514897	1	1	0.514897	1	0.514897
	1	1	1.94213	1.94213	1.94213	1	1.94213	1	1.94213	1.94213	1	1.94213	1

Measure_2:
- The heuristics that have the similar ratio are:
	(h1     ,h2     ):	fracss	-	fracastar	=	diff
	(0_gapdb, 2_ipdb):	1.94213	-	2.00348	=	-0.0613499
	(0_gapdb, 3_mands):	1.94213	-	2.00348	=	-0.0613499
	(0_gapdb, 4_lmcut):	1.94213	-	2.00348	=	-0.0613499
	(0_gapdb, 6_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(0_gapdb, 8_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(0_gapdb, 9_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(0_gapdb, 11_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(1_gapdb, 2_ipdb):	1.94213	-	2.00348	=	-0.0613499
	(1_gapdb, 3_mands):	1.94213	-	2.00348	=	-0.0613499
	(1_gapdb, 4_lmcut):	1.94213	-	2.00348	=	-0.0613499
	(1_gapdb, 6_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(1_gapdb, 8_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(1_gapdb, 9_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(1_gapdb, 11_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(5_gapdb, 2_ipdb):	1.94213	-	2.00348	=	-0.0613499
	(5_gapdb, 3_mands):	1.94213	-	2.00348	=	-0.0613499
	(5_gapdb, 4_lmcut):	1.94213	-	2.00348	=	-0.0613499
	(5_gapdb, 6_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(5_gapdb, 8_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(5_gapdb, 9_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(5_gapdb, 11_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(7_gapdb, 2_ipdb):	1.94213	-	2.00348	=	-0.0613499
	(7_gapdb, 3_mands):	1.94213	-	2.00348	=	-0.0613499
	(7_gapdb, 4_lmcut):	1.94213	-	2.00348	=	-0.0613499
	(7_gapdb, 6_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(7_gapdb, 8_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(7_gapdb, 9_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(7_gapdb, 11_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(10_gapdb, 2_ipdb):	1.94213	-	2.00348	=	-0.0613499
	(10_gapdb, 3_mands):	1.94213	-	2.00348	=	-0.0613499
	(10_gapdb, 4_lmcut):	1.94213	-	2.00348	=	-0.0613499
	(10_gapdb, 6_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(10_gapdb, 8_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(10_gapdb, 9_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(10_gapdb, 11_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(12_gapdb, 2_ipdb):	1.94213	-	2.00348	=	-0.0613499
	(12_gapdb, 3_mands):	1.94213	-	2.00348	=	-0.0613499
	(12_gapdb, 4_lmcut):	1.94213	-	2.00348	=	-0.0613499
	(12_gapdb, 6_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(12_gapdb, 8_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(12_gapdb, 9_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(12_gapdb, 11_gapdb):	1.94213	-	2.00348	=	-0.0613499
	(0_gapdb, 1_gapdb):	1	-	1	=	0
	(0_gapdb, 5_gapdb):	1	-	1	=	0
	(0_gapdb, 7_gapdb):	1	-	1	=	0
	(0_gapdb, 10_gapdb):	1	-	1	=	0
	(0_gapdb, 12_gapdb):	1	-	1	=	0
	(1_gapdb, 0_gapdb):	1	-	1	=	0
	(1_gapdb, 5_gapdb):	1	-	1	=	0
	(1_gapdb, 7_gapdb):	1	-	1	=	0
	(1_gapdb, 10_gapdb):	1	-	1	=	0
	(1_gapdb, 12_gapdb):	1	-	1	=	0
	(2_ipdb, 3_mands):	1	-	1	=	0
	(2_ipdb, 4_lmcut):	1	-	1	=	0
	(2_ipdb, 6_gapdb):	1	-	1	=	0
	(2_ipdb, 8_gapdb):	1	-	1	=	0
	(2_ipdb, 9_gapdb):	1	-	1	=	0
	(2_ipdb, 11_gapdb):	1	-	1	=	0
	(3_mands, 2_ipdb):	1	-	1	=	0
	(3_mands, 4_lmcut):	1	-	1	=	0
	(3_mands, 6_gapdb):	1	-	1	=	0
	(3_mands, 8_gapdb):	1	-	1	=	0
	(3_mands, 9_gapdb):	1	-	1	=	0
	(3_mands, 11_gapdb):	1	-	1	=	0
	(4_lmcut, 2_ipdb):	1	-	1	=	0
	(4_lmcut, 3_mands):	1	-	1	=	0
	(4_lmcut, 6_gapdb):	1	-	1	=	0
	(4_lmcut, 8_gapdb):	1	-	1	=	0
	(4_lmcut, 9_gapdb):	1	-	1	=	0
	(4_lmcut, 11_gapdb):	1	-	1	=	0
	(5_gapdb, 0_gapdb):	1	-	1	=	0
	(5_gapdb, 1_gapdb):	1	-	1	=	0
	(5_gapdb, 7_gapdb):	1	-	1	=	0
	(5_gapdb, 10_gapdb):	1	-	1	=	0
	(5_gapdb, 12_gapdb):	1	-	1	=	0
	(6_gapdb, 2_ipdb):	1	-	1	=	0
	(6_gapdb, 3_mands):	1	-	1	=	0
	(6_gapdb, 4_lmcut):	1	-	1	=	0
	(6_gapdb, 8_gapdb):	1	-	1	=	0
	(6_gapdb, 9_gapdb):	1	-	1	=	0
	(6_gapdb, 11_gapdb):	1	-	1	=	0
	(7_gapdb, 0_gapdb):	1	-	1	=	0
	(7_gapdb, 1_gapdb):	1	-	1	=	0
