Experiment 2: scanalyzer-opt11-strips using gapdb heuristic with 5000 probes



instance_name: p01_F_13.csv

A*:		{(0_gapdb, 118),(1_ipdb, 122),(2_gapdb, 122),(3_lmcut, 122),(4_gapdb, 118),(5_gapdb, 122),(6_gapdb, 118),(7_gapdb, 118),(8_gapdb, 118),(9_gapdb, 122),(10_gapdb, 118),(11_gapdb, 118),}
ss:		{(0_gapdb, 20.1086),(1_ipdb, 22.1086),(2_gapdb, 20.1086),(3_lmcut, 20.1086),(4_gapdb, 20.1086),(5_gapdb, 20.1086),(6_gapdb, 20.1086),(7_gapdb, 20.1086),(8_gapdb, 20.1086),(9_gapdb, 20.1086),(10_gapdb, 20.1086),(11_gapdb, 20.1086),}

Measure_1:

-A* h1/h2
	1	0.967213	0.967213	0.967213	1	0.967213	1	1	1	0.967213	1	1
	1.0339	1	1	1	1.0339	1	1.0339	1.0339	1.0339	1	1.0339	1.0339
	1.0339	1	1	1	1.0339	1	1.0339	1.0339	1.0339	1	1.0339	1.0339
	1.0339	1	1	1	1.0339	1	1.0339	1.0339	1.0339	1	1.0339	1.0339
	1	0.967213	0.967213	0.967213	1	0.967213	1	1	1	0.967213	1	1
	1.0339	1	1	1	1.0339	1	1.0339	1.0339	1.0339	1	1.0339	1.0339
	1	0.967213	0.967213	0.967213	1	0.967213	1	1	1	0.967213	1	1
	1	0.967213	0.967213	0.967213	1	0.967213	1	1	1	0.967213	1	1
	1	0.967213	0.967213	0.967213	1	0.967213	1	1	1	0.967213	1	1
	1.0339	1	1	1	1.0339	1	1.0339	1.0339	1.0339	1	1.0339	1.0339
	1	0.967213	0.967213	0.967213	1	0.967213	1	1	1	0.967213	1	1
	1	0.967213	0.967213	0.967213	1	0.967213	1	1	1	0.967213	1	1

-ss h1/h2
	1	0.909537	1	1	1	1	1	1	1	1	1	1
	1.09946	1	1.09946	1.09946	1.09946	1.09946	1.09946	1.09946	1.09946	1.09946	1.09946	1.09946
	1	0.909537	1	1	1	1	1	1	1	1	1	1
	1	0.909537	1	1	1	1	1	1	1	1	1	1
	1	0.909537	1	1	1	1	1	1	1	1	1	1
	1	0.909537	1	1	1	1	1	1	1	1	1	1
	1	0.909537	1	1	1	1	1	1	1	1	1	1
	1	0.909537	1	1	1	1	1	1	1	1	1	1
	1	0.909537	1	1	1	1	1	1	1	1	1	1
	1	0.909537	1	1	1	1	1	1	1	1	1	1
	1	0.909537	1	1	1	1	1	1	1	1	1	1
	1	0.909537	1	1	1	1	1	1	1	1	1	1

Measure_2:
- The heuristics that have the similar ratio are:
	(h1     ,h2     ):	fracss	-	fracastar	=	diff
	(2_gapdb, 1_ipdb):	0.909537	-	1	=	-0.0904625
	(3_lmcut, 1_ipdb):	0.909537	-	1	=	-0.0904625
	(5_gapdb, 1_ipdb):	0.909537	-	1	=	-0.0904625
	(9_gapdb, 1_ipdb):	0.909537	-	1	=	-0.0904625
	(0_gapdb, 1_ipdb):	0.909537	-	0.967213	=	-0.0576756
	(4_gapdb, 1_ipdb):	0.909537	-	0.967213	=	-0.0576756
	(6_gapdb, 1_ipdb):	0.909537	-	0.967213	=	-0.0576756
	(7_gapdb, 1_ipdb):	0.909537	-	0.967213	=	-0.0576756
	(8_gapdb, 1_ipdb):	0.909537	-	0.967213	=	-0.0576756
	(10_gapdb, 1_ipdb):	0.909537	-	0.967213	=	-0.0576756
	(11_gapdb, 1_ipdb):	0.909537	-	0.967213	=	-0.0576756
	(2_gapdb, 0_gapdb):	1	-	1.0339	=	-0.0338983
	(2_gapdb, 4_gapdb):	1	-	1.0339	=	-0.0338983
	(2_gapdb, 6_gapdb):	1	-	1.0339	=	-0.0338983
	(2_gapdb, 7_gapdb):	1	-	1.0339	=	-0.0338983
	(2_gapdb, 8_gapdb):	1	-	1.0339	=	-0.0338983
	(2_gapdb, 10_gapdb):	1	-	1.0339	=	-0.0338983
	(2_gapdb, 11_gapdb):	1	-	1.0339	=	-0.0338983
	(3_lmcut, 0_gapdb):	1	-	1.0339	=	-0.0338983
	(3_lmcut, 4_gapdb):	1	-	1.0339	=	-0.0338983
	(3_lmcut, 6_gapdb):	1	-	1.0339	=	-0.0338983
	(3_lmcut, 7_gapdb):	1	-	1.0339	=	-0.0338983
	(3_lmcut, 8_gapdb):	1	-	1.0339	=	-0.0338983
	(3_lmcut, 10_gapdb):	1	-	1.0339	=	-0.0338983
	(3_lmcut, 11_gapdb):	1	-	1.0339	=	-0.0338983
	(5_gapdb, 0_gapdb):	1	-	1.0339	=	-0.0338983
	(5_gapdb, 4_gapdb):	1	-	1.0339	=	-0.0338983
	(5_gapdb, 6_gapdb):	1	-	1.0339	=	-0.0338983
	(5_gapdb, 7_gapdb):	1	-	1.0339	=	-0.0338983
	(5_gapdb, 8_gapdb):	1	-	1.0339	=	-0.0338983
	(5_gapdb, 10_gapdb):	1	-	1.0339	=	-0.0338983
	(5_gapdb, 11_gapdb):	1	-	1.0339	=	-0.0338983
	(9_gapdb, 0_gapdb):	1	-	1.0339	=	-0.0338983
	(9_gapdb, 4_gapdb):	1	-	1.0339	=	-0.0338983
	(9_gapdb, 6_gapdb):	1	-	1.0339	=	-0.0338983
	(9_gapdb, 7_gapdb):	1	-	1.0339	=	-0.0338983
	(9_gapdb, 8_gapdb):	1	-	1.0339	=	-0.0338983
	(9_gapdb, 10_gapdb):	1	-	1.0339	=	-0.0338983
	(9_gapdb, 11_gapdb):	1	-	1.0339	=	-0.0338983
	(0_gapdb, 4_gapdb):	1	-	1	=	0
	(0_gapdb, 6_gapdb):	1	-	1	=	0
	(0_gapdb, 7_gapdb):	1	-	1	=	0
	(0_gapdb, 8_gapdb):	1	-	1	=	0
	(0_gapdb, 10_gapdb):	1	-	1	=	0
	(0_gapdb, 11_gapdb):	1	-	1	=	0
	(2_gapdb, 3_lmcut):	1	-	1	=	0
	(2_gapdb, 5_gapdb):	1	-	1	=	0
	(2_gapdb, 9_gapdb):	1	-	1	=	0
	(3_lmcut, 2_gapdb):	1	-	1	=	0
	(3_lmcut, 5_gapdb):	1	-	1	=	0
	(3_lmcut, 9_gapdb):	1	-	1	=	0
	(4_gapdb, 0_gapdb):	1	-	1	=	0
	(4_gapdb, 6_gapdb):	1	-	1	=	0
	(4_gapdb, 7_gapdb):	1	-	1	=	0
	(4_gapdb, 8_gapdb):	1	-	1	=	0
	(4_gapdb, 10_gapdb):	1	-	1	=	0
	(4_gapdb, 11_gapdb):	1	-	1	=	0
	(5_gapdb, 2_gapdb):	1	-	1	=	0
	(5_gapdb, 3_lmcut):	1	-	1	=	0
	(5_gapdb, 9_gapdb):	1	-	1	=	0
	(6_gapdb, 0_gapdb):	1	-	1	=	0
	(6_gapdb, 4_gapdb):	1	-	1	=	0
	(6_gapdb, 7_gapdb):	1	-	1	=	0
	(6_gapdb, 8_gapdb):	1	-	1	=	0
	(6_gapdb, 10_gapdb):	1	-	1	=	0
	(6_gapdb, 11_gapdb):	1	-	1	=	0
	(7_gapdb, 0_gapdb):	1	-	1	=	0
	(7_gapdb, 4_gapdb):	1	-	1	=	0
	(7_gapdb, 6_gapdb):	1	-	1	=	0
	(7_gapdb, 8_gapdb):	1	-	1	=	0
	(7_gapdb, 10_gapdb):	1	-	1	=	0
	(7_gapdb, 11_gapdb):	1	-	1	=	0
	(8_gapdb, 0_gapdb):	1	-	1	=	0
	(8_gapdb, 4_gapdb):	1	-	1	=	0
	(8_gapdb, 6_gapdb):	1	-	1	=	0
	(8_gapdb, 7_gapdb):	1	-	1	=	0
	(8_gapdb, 10_gapdb):	1	-	1	=	0
	(8_gapdb, 11_gapdb):	1	-	1	=	0
	(9_gapdb, 2_gapdb):	1	-	1	=	0
	(9_gapdb, 3_lmcut):	1	-	1	=	0
	(9_gapdb, 5_gapdb):	1	-	1	=	0
	(10_gapdb, 0_gapdb):	1	-	1	=	0
	(10_gapdb, 4_gapdb):	1	-	1	=	0
