	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1000 probes

elevators-opt08-strips

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
27		2			2
29		3			3
32		13			13
33		17			17
34		30			30.05
35		37			36.878
36		41			40.81
37		155			154.81
38		199			198.242
39		600			586.382
40		851			847.902
41		1274			1297.49
42		3533			3396.7
43		5046			5834.62
44		19077			17561
45		27301			24870.3
46		89272			114974
47		183196			168973
48		759179			1.05045e+06
49		2.6807e+06			2.13486e+06
50		3.48761e+06			4.32459e+06
51		8.18974e+06			5.46304e+06
52		1.41758e+07			2.89497e+06
53		5.78546e+07			1.62489e+07
54		2.09614e+08			3.3864e+08

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
30		1			1
35		11			11
36		56			56
37		600			597.004
38		5037			5061.58
39		5057			5117.96
40		5086			4901.67
41		6963			6878.28
42		33975			32742.4

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
39		2			2
41		3			3
44		659			652.854
45		660			671.25
46		671			684.884
47		691			712.194
48		697			699.132
49		39305			35384.7
50		53547			47180.6
51		89556			78130.8
52		105799			103372
53		147355			134498
54		1.16584e+06			1.29107e+06
55		2.20403e+06			1.77929e+06
56		7.35599e+06			7.16399e+06

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		13			13
12		522			526.226
13		2948			2893.93
14		3313			3079.11
15		4207			4083.93
18		41998			39516
19		161204			146596
20		627376			465060
21		754784			611080
22		1.04252e+06			863674
23		1.0846e+06			858130
24		2.70247e+06			2.88723e+06
25		1.85463e+07			1.87341e+07
26		4.93181e+07			4.40834e+07
