	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 100 probes

elevators-opt11-strips

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
39		2			2
41		3			3
44		659			664.5
45		660			654.6
46		671			719.02
47		691			637.64
48		697			705.32
49		39305			35590
50		53547			48761.6
51		89556			64854.6
52		105799			94694.9
53		147355			97027.8
54		1.16584e+06			876387
55		2.20403e+06			2.24584e+06
56		7.35599e+06			4.68192e+06

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
27		2			2
29		3			3
32		13			13
33		17			16.92
34		30			29.5
35		37			36.56
36		41			40.94
37		155			154.1
38		199			217.42
39		600			534.44
40		851			869.15
41		1274			1344.66
42		3533			3061.04
43		5046			4628.31
44		19077			12778
45		27301			39213.9
46		89272			159798
47		183196			107832
48		759179			1.48711e+06
49		2.6807e+06			2.88319e+06
50		3.48761e+06			4.62973e+06
51		8.18974e+06			6.03671e+06
52		1.41758e+07			6.32337e+06
53		5.78546e+07			1.98188e+07
54		2.09614e+08			5.41953e+07
