	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1000 probes

parking-opt11-strips

pfile03-011.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
9		9			9.043
10		88			88.135
11		824			819.793
12		7675			7644.68
13		73959			71275
14		43069			688905

pfile03-012.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
12		1			1
13		10			10.078
14		181			180.22
15		2790			2751.88
16		40452			41407.7
17		559487			552951
18		7.42186e+06			6.88553e+06
19		9.59479e+07			9.86356e+07
20		3.14278e+06			1.12371e+09

pfile04-015.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
13		2			2
14		30			30.557
15		554			545.592
16		9398			9520.53
17		155074			152892
18		2.46534e+06			2.35804e+06
19		444392			4.04601e+07

pfile04-013.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		1			1
15		18			18.15
16		323			333.164
17		5183			5348.44
18		83069			89053.8
19		1.2925e+06			1.25633e+06
20		6.31802e+06			2.02226e+07
