	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1000 probes

tidybot-opt11-strips

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		5			5
8		27			27
9		95			95
10		317			317.661
11		1084			1081.44
12		3543			3605.88
13		12073			12320.9
14		40910			42747.4
15		145044			149178
16		502302			496070
17		1.88258e+06			1.79963e+06

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		65			65

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		5			5
8		27			27
9		95			95
10		317			317.915
11		1084			1086.88
12		3543			3590.92
13		12173			11894
14		42555			41322.3
15		154176			149228
16		591627			598120
