	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1000 probes

woodworking-opt11-strips

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
165		3			3
170		5			5
175		473593			472382
180		1.59286e+06			1.60783e+06
185		3.51675e+06			3.57558e+06
190		1.68693e+07			1.83051e+07
195		9.99192e+07			1.26106e+08

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
185		2			2
195		19			19.122
200		21			21.222
205		320			332.673
210		490			497.584
215		6.23222e+08			6.64816e+08

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
195		1			1
205		2849			2888.64
210		6228			6503.19
215		9807			9378.15
220		29094			31064
225		3.94547e+06			4.18027e+06
