	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1000 probes

elevators-opt08-strips

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
30		1			1
35		11			11
36		56			56
37		600			605.291
38		5037			4892.46
39		5057			4964
40		5086			5095.72
41		6963			6994.16
42		33975			28488.7

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		13			13
12		522			501.227
13		2948			2905.35
14		3313			3130.76
15		4207			3967.65
18		41998			36499.7
19		161204			151863
20		627376			658422
21		754784			680046
22		1.04252e+06			852690
23		1.0846e+06			914606
24		2.70247e+06			3.70583e+06
25		1.85463e+07			2.02907e+07
26		4.93181e+07			4.34809e+07
