	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1000 probes

parking-opt11-strips

pfile03-011.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
9		9			8.917
10		88			86.282
11		824			819.553
12		7675			7484.5
13		73959			72542.4
14		705194			685229

pfile03-012.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
12		1			1
13		10			9.916
14		181			177.106
15		2790			2797.98
16		40452			39467.2
17		559487			558547
18		7.42186e+06			7.76408e+06
19		9.59479e+07			9.40161e+07
20		1.21158e+09			1.22197e+09

pfile04-015.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
13		2			2
14		30			30.557
15		554			545.592
16		9398			9547.99
17		155074			153762
18		2.46534e+06			2.49579e+06
19		3.85537e+07			3.79035e+07

pfile04-013.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		1			1
15		18			17.786
16		323			326.458
17		5183			5247.12
18		83069			82511.6
19		1.2925e+06			1.27172e+06
20		1.98186e+07			2.11138e+07
