	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1 probe

woodworking-opt11-strips

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
165		3			3
170		5			5
175		473593			310116
180		1.59286e+06			558716
185		3.51675e+06			1.81264e+06
190		1.68693e+07			1.28259e+07
195		9.99192e+07			206091

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
185		2			2
195		19			16
200		21			22
205		320			169
210		490			1641
215		6.23222e+08			4.03337e+08

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
195		1			1
205		2849			1544
210		6228			7982
215		9807			8837
220		29094			76733
225		3.94547e+06			6.73123e+06
