	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 10 probes

elevators-opt08-strips

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
27		2			2
29		3			3
32		13			13
33		17			17.4
34		30			32
35		37			39.2
36		41			42.8
37		155			170
38		199			153
39		600			645.8
40		851			724.6
41		1274			1053.8
42		3533			2621.7
43		5046			4745.9
44		19077			6994.8
45		27301			6352.3
46		89272			17924.7
47		183196			41037
48		759179			27399.3
49		2.6807e+06			135224
50		3.48761e+06			109329
51		8.18974e+06			596925
52		1.41758e+07			1.73258e+06
53		5.78546e+07			1.20036e+06
54		2.09614e+08			1.34188e+07

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
30		1			1
35		11			11
36		56			56
37		600			567.4
38		5037			4480.8
39		5057			3601.3
40		5086			4434
41		6963			7940.2
42		33975			40472.1

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
39		2			2
41		3			3
44		659			448.6
45		660			716.4
46		671			586.6
47		691			660.6
48		697			791.8
49		39305			32207.9
50		53547			24920.9
51		89556			152760
52		105799			48184.2
53		147355			53190.3
54		1.16584e+06			995190
55		2.20403e+06			2.55249e+06
56		7.35599e+06			1.53279e+07

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		13			13
12		522			234.5
13		2948			3671.2
14		3313			1777.6
15		4207			3233.4
18		41998			25383.4
19		161204			167028
20		627376			168397
21		754784			459484
22		1.04252e+06			300961
23		1.0846e+06			2.11018e+06
24		2.70247e+06			778942
25		1.85463e+07			8.40057e+06
26		4.93181e+07			2.44288e+07
