	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 100 probes

parking-opt11-strips

pfile05-018.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		2			2
15		44			44.55
16		999			895.53
17		21077			21427.3
18		416444			392984
19		7.95364e+06			8.52793e+06
20		1.47668e+08			1.56093e+08

pfile03-011.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
9		9			8.91
10		88			84.1
11		824			756.36
12		7675			7714.16
13		73959			71104.3
14		705194			689017

pfile03-012.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
12		1			1
13		10			10.12
14		181			190.66
15		2790			2638.3
16		40452			36664.1
17		559487			602699
18		7.42186e+06			8.64018e+06
19		9.59479e+07			8.92892e+07
20		1.21158e+09			1.16934e+09

pfile04-015.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
13		2			2
14		30			29.37
15		554			490.39
16		9398			10060.7
17		155074			150714
18		2.46534e+06			2.27352e+06
19		3.85537e+07			2.98055e+07

pfile04-013.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		1			1
15		18			17.94
16		323			344.42
17		5183			4813.92
18		83069			90278.3
19		1.2925e+06			1.38489e+06
20		1.98186e+07			1.83537e+07
