	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 100 probes

tidybot-opt11-strips

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		5			5
8		27			27
9		95			95
10		317			321.86
11		1084			1090.88
12		3543			3537.22
13		12073			13276.5
14		40910			41109.7
15		145044			154010
16		502302			436737
17		1.88258e+06			2.21158e+06

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		65			65

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		5			5
8		27			27
9		95			95
10		317			323.21
11		1084			1075.43
12		3543			3469.5
13		12173			13234.8
14		42555			46344
15		154176			156710
16		591627			895313
