	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1000 probes.

nomystery-opt11-strips

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		3			3
5		8			8
6		33			32.952
7		110			110.079
8		344			346.652
9		1035			1036.48
10		2990			3165.7
11		8603			8578.19
12		24661			25883.3
13		71921			68667.2
14		215522			215972

p13.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		2			2
5		9			9.028
6		37			36.996
7		135			137.92
8		475			463.408
9		1654			1604.59
10		5691			5332.79
11		19689			21153.1
12		68405			65949.2
13		241046			212327
14		860811			1.11811e+06
15		3.13474e+06			3.41782e+06

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
3		1			1
4		4			4
5		14			14.02
6		46			45.685
7		132			129.01
8		410			414.187
9		1162			1102.69
10		3400			3258.13
11		9656			9198.68

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		2			2
5		10			10
6		46			45.364
7		187			187.55
8		743			751.242
9		2858			2751.68
10		10890			10782.6
11		40967			41587.9
12		154195			158414
13		581047			540651
14		2.20799e+06			2.46888e+06
15		8.47814e+06			1.04046e+07

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
3		1			1
4		4			4
5		10			10
6		30			29.92
7		80			79.108
8		191			187.237
9		462			454.834
10		1082			1106.07
11		2657			2419.31
12		6430			6272.77

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		3			3
5		8			8
6		35			35.016
7		122			121.829
8		483			487.804
9		1758			1735.54
10		6375			6385.66
11		22348			23117.5
12		77589			77551.3
13		267617			274713
14		928947			1.20265e+06
