	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1000 probes.

visitall-opt11-strips

problem09-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
9		2			2
10		9			9
11		23			23.098
12		93			92.912
13		270			270.177
14		1081			1082.81
15		3385			3388.73
16		13541			13553.6
17		44466			44278
18		177861			177121
19		602756			598672
20		2.41084e+06			2.41365e+06
21		8.34688e+06			8.39337e+06
22		3.33832e+07			3.34911e+07
23		1.17281e+08			1.17919e+08
24		4.69052e+08			4.66749e+08

problem05-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
6		9			9
8		93			92.408
10		1065			1063.08
12		12645			12455.5
14		151593			153904
15		151833			154243
16		1.82529e+06			1.85547e+06
17		1.83424e+06			1.84918e+06
18		2.20412e+07			2.19982e+07
19		2.22525e+07			2.23954e+07
20		2.66717e+08			2.69218e+08
21		2.70793e+08			2.68793e+08
22		3.2326e+09			3.31274e+09

problem08-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		1			1
8		2			2
9		9			9
10		23			22.99
11		93			92.978
12		270			269.697
13		1081			1078.77
14		3385			3361.66
15		13531			13349.3
16		44420			44539.3
17		177059			177907
18		599953			599277
19		2.3804e+06			2.37915e+06
20		8.24962e+06			8.19142e+06
21		3.25447e+07			3.27661e+07
22		1.1469e+08			1.15038e+08
23		4.49715e+08			4.54085e+08
24		1.60523e+09			1.58207e+09

problem06-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
7		3			3
8		11			11
9		35			35
10		123			123.016
11		417			417.26
12		1487			1484.34
13		5213			5208.22
14		18735			18714.1
15		66835			66841.6
16		240743			241579
17		866757			868966
18		3.12336e+06			3.13523e+06
19		1.13034e+07			1.13151e+07
20		4.07291e+07			4.08142e+07
21		1.47856e+08			1.47265e+08
22		5.32705e+08			5.34675e+08
23		1.93765e+09			1.94047e+09

problem11-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
11		2			2
12		11			11.062
13		23			23.08
14		123			123.416
15		270			269.331
16		1495			1492.51
17		3385			3388.97
18		19261			19276.2
19		44471			43898.8
20		257915			259208
21		603373			604687
22		3.54789e+06			3.53851e+06
23		8.37817e+06			8.31475e+06
24		4.97747e+07			5.00147e+07
25		1.18356e+08			1.18963e+08
26		7.08702e+08			7.06977e+08

problem04-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
5		3			3
6		11			11
7		35			35
8		117			117
9		391			391.834
10		1269			1270.93
11		4367			4382.04

problem04-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
5		3			3
6		11			11
7		35			35
8		117			117
9		391			393.136
10		1269			1275.18
11		4319			4333.22
12		13961			14042.6
13		47873			47786.4
14		154971			157916
15		532209			520804

problem02-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
2		1			1
3		7			7

problem09-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
10		9			9
12		93			93.008
14		1081			1082.68
16		13541			13525.5
18		177861			178449
20		2.41084e+06			2.43128e+06
22		3.33832e+07			3.37704e+07
24		4.69043e+08			4.58642e+08

problem07-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
8		9			9
10		93			92.696
12		1081			1078.14
14		13521			13327.4
16		176257			175114
18		2.34997e+06			2.31685e+06
20		3.17068e+07			3.1085e+07
21		3.17089e+07			3.21876e+07
22		4.30502e+08			4.40083e+08
23		4.30614e+08			4.40083e+08

problem10-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
11		9			9
12		13			13
13		93			92.776
14		153			152.928
15		1081			1076.52
16		1909			1906.06
17		13541			13449.9
18		24981			25027.2
19		177873			179410
20		337853			336980
21		2.41216e+06			2.41173e+06
22		4.67589e+06			4.67745e+06
23		3.34478e+07			3.30696e+07
24		6.5788e+07			6.58046e+07
25		4.71231e+08			4.73047e+08

problem08-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
9		3			3
10		11			11
11		35			35
12		123			122.968
13		417			417
14		1495			1490.66
15		5275			5270.22
16		19251			19144.1
17		69589			69475.1
18		256989			257890
19		942917			939860
20		3.50803e+06			3.50165e+06
21		1.29926e+07			1.30067e+07
22		4.85526e+07			4.86147e+07
23		1.80902e+08			1.80892e+08
24		6.77759e+08			6.802e+08

problem02-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
1		2			2

problem05-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
6		11			10.932
8		123			121.404
10		1449			1423.14
12		17385			17573.4
13		17465			17664
14		210173			209991
15		213023			216847
16		2.55372e+06			2.562e+06
17		2.62001e+06			2.65086e+06
18		3.11459e+07			3.18958e+07

problem11-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
12		9			9
14		93			92.744
16		1081			1077.14
18		13541			13623.9
20		177885			177646
22		2.41349e+06			2.38845e+06
24		3.35124e+07			3.38135e+07
26		4.73419e+08			4.72218e+08

problem03-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
2		1			1
4		9			9
5		11			10.9
6		89			89.256

problem10-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
11		3			3
12		11			11
13		35			35
14		123			122.984
15		417			418.036
16		1495			1490.46
17		5275			5285.7
18		19261			19328.4
19		69681			69669
20		257903			257536
21		948715			949444
22		3.54654e+06			3.54201e+06
23		1.31995e+07			1.32976e+07
24		4.97074e+07			4.96422e+07
25		1.86562e+08			1.85922e+08
26		7.06366e+08			7.03e+08

problem07-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
8		9			9
10		93			93.416
12		1081			1065.99
14		13521			13610.7
16		176257			179603
18		2.34997e+06			2.36259e+06
20		3.17061e+07			3.1659e+07
21		3.17089e+07			3.1659e+07
22		4.30466e+08			4.3716e+08
23		4.30608e+08			4.3716e+08

problem03-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
2		1			1
4		9			9
6		81			81
8		705			703.592

problem06-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		1			1
7		9			9
8		11			11.128
9		93			93.248
10		123			124.056
11		1073			1064.71
12		1487			1457.5
13		13083			13010.1
14		18735			18637.5
15		163925			163288
16		240743			238063
17		2.08487e+06			2.08826e+06
18		3.1242e+06			3.05367e+06
19		2.67608e+07			2.7131e+07
20		4.07743e+07			4.06616e+07
21		3.45593e+08			3.40534e+08
22		5.34146e+08			5.2726e+08
