	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1000 probes.

blocks

probBLOCKS-15-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
26		38			36.675
28		2993			3520.84
30		181180			172481
32		9.92211e+06			1.06681e+07
33		9.92522e+06			1.09519e+07
34		5.20199e+08			3.7412e+08
35		5.20998e+08			4.57526e+08

probBLOCKS-16-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
26		3			3
28		21			20.97
29		23			23.016
30		175			178.53
31		194			198.444
32		1943			1817.18
33		2140			2133.97
34		29110			25232.5
35		32004			34416.4
36		565198			507305
37		626809			602286
38		1.34376e+07			2.15554e+07
39		1.51338e+07			1.26186e+07
40		3.69302e+08			3.58879e+08
41		4.2336e+08			3.14616e+08
42		1.11719e+10			7.97265e+09

probBLOCKS-5-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		2			2
10		7			6.978
12		29			29.514
14		170			170.702
15		177			188.326
16		1497			1463.47

probBLOCKS-9-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
16		3			3
18		16			16.126
19		18			18.238
20		98			95.536
21		118			119.992
22		793			835.116
23		987			1002.57
24		9115			7416.75
25		11097			11287.7
26		193819			373383

probBLOCKS-8-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		82			84.332
15		84			86.32
16		4261			5439.09

probBLOCKS-6-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		6			6
11		7			7
12		70			70.008

probBLOCKS-4-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		10			9.74

probBLOCKS-8-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
12		5			4.976
13		7			6.97
14		113			111.343
15		150			143.663
16		2316			2365.05
17		3051			2810.47
18		47413			56551.5

probBLOCKS-4-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
5		2			2
6		4			4
7		6			6
8		12			12
9		17			17.048
10		48			50.606

probBLOCKS-13-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
24		4			4
26		55			53.296
28		927			741.574
30		26066			17437.8
31		26142			17014
32		981982			604199
33		995413			686311
34		4.01068e+07			3.61677e+07
35		4.14996e+07			3.61677e+07
36		1.69652e+09			6.35422e+08
37		1.8084e+09			4.22358e+08

probBLOCKS-11-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		23			550.06
21		28			661.141
22		1315			9812.67
23		1618			11090.5
24		69606			170474
25		86557			199212
26		3.51914e+06			3.18801e+06
27		4.40907e+06			3.58575e+06
28		1.72089e+08			6.73431e+07
29		2.15908e+08			7.83045e+07
30		8.24758e+09			1.15076e+09

probBLOCKS-12-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
32		6			1.36291e+09
34		378			2.17952e+10
35		383			2.01882e+10
36		23938			2.09702e+11
37		24643			7.30997e+11
38		1.47186e+06			1.48212e+14
39		1.54168e+06			1.39224e+14
40		9.86696e+07			4.88584e+15
41		1.04724e+08			1.66737e+15
42		8.44534e+09			4.07653e+16

probBLOCKS-13-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
24		2			2
25		3			3
26		18			18.132
27		23			23.028
28		146			146.214
29		179			180.402
30		1400			1339.79
31		1675			1648.76
32		18011			20724
33		21211			19786.2
34		330699			242269
35		389140			280941
36		8.21884e+06			5.66231e+06
37		9.74226e+06			7.03059e+06
38		2.6014e+08			8.26957e+07
39		3.08652e+08			2.12674e+08
40		1.0654e+10			9.44382e+09

probBLOCKS-5-0.pddl
