	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1000 probes.

elevators-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
26		1			1
31		7			7
33		67			66.44
35		79			79.944
36		118			119.057
37		181			181.014
38		3565			3507.91
39		3586			3864.89
40		397153			357807
41		397813			460384
42		412783			370056
43		833229			583051
44		5.7959e+06			5.61911e+06
45		2.76111e+07			1.25163e+07
46		2.81213e+07			2.27973e+07

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
39		2			2
44		63			63.02
46		102			102.336
48		104			104.256
49		1472			1461.23
51		11156			10236.9
53		14960			13763.3
54		34646			32290.3
55		37738			33631.5
56		998485			753197
57		1.00442e+06			875379
58		2.45762e+06			1.81329e+06
59		2.74641e+06			2.04252e+06
60		4.12841e+06			2.92155e+06
61		5.58893e+07			3.63771e+07
62		6.28887e+07			4.74271e+07

p29.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
42		112			110.956
45		148			147.76
47		1483			1498.13
48		10639			10352.8
49		73721			72933.1
50		83001			86431.4
51		116831			122598
52		871250			827360
53		1.00294e+06			861984
54		1.05817e+07			8.86853e+06

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
29		1			1
34		10			10
35		96			94.24
36		123			120.724
37		200			205.984
38		266			268.636
39		293			289.468
40		1708			1707.09
41		23348			21632.9
42		43857			39814.9
43		86903			76522.3
44		453795			489521
45		504536			468266
46		3.45045e+06			2.90107e+06
47		1.16266e+07			6.84749e+06

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
30		1			1
35		3			3
36		4			4
37		8			7.969
38		9			8.996
39		13			12.936
40		24			24.344
41		33			32.008
42		84			78.529
43		102			103.708
44		235			240.349
45		284			284.563
46		596			572.972
47		1102			1061.31
48		1702			1683.56
49		5989			5797.15
50		7208			7198.94
51		23504			22876.4
52		29761			27352
53		57090			50061.7
54		124633			120960
55		173530			152623
56		1.09893e+06			1.12371e+06
57		1.25826e+06			1.12711e+06
58		4.80197e+06			3.58751e+06
59		6.12116e+06			5.30911e+06
60		1.12915e+07			1.15897e+07
61		9.79147e+07			5.57616e+07

p25.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
39		22			22
44		2286			2310.69
45		2873			2651.41
46		79936			78849
48		84512			79394.7
49		220113			179779
50		346024			324615

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
27		2			2
29		3			3
32		13			13
33		17			16.932
34		30			30.01
35		37			37.05
36		41			41.04
37		155			158.002
38		199			200.086
39		600			604.357
40		851			831.517
41		1274			1269.58
42		3533			3655.05
43		5046			4646.84
44		19077			20129.3
45		27301			29268
46		89272			92997.4
47		183196			209118
48		759179			631778
49		2.6807e+06			2.9183e+06
50		3.48761e+06			1.11795e+06
51		8.18974e+06			7.76047e+06
52		1.41758e+07			4.83071e+06
53		5.78546e+07			6.12928e+07
54		2.09614e+08			7.69212e+07

p13.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
32		1477			1476.81
37		277242			253755
38		937148			871563
39		9.40345e+06			9.56914e+06
40		9.45179e+06			7.74336e+06
41		1.0125e+07			9.20803e+06
42		2.29643e+07			1.85979e+07
43		8.69942e+07			6.19744e+07

p30.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
38		40458			40491.1

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
29		1			1
34		779			777.509
35		1253			1241.94
36		1297			1349.55
37		1341			1284.39
38		2345			2353.89
39		86861			87277.6
40		176036			172327
41		1.50599e+06			1.1291e+06

p05.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
28		1			1
32		38			38
33		536			538.052
34		75697			75387.1
35		75722			75955.3
37		78960			78485.8
38		220922			201463
39		4.5577e+06			5.32191e+06
40		1.89151e+07			1.50781e+07

p22.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
12		64			64
18		7660			6831.39
19		22734			18557.5
20		31579			24408.7
21		39070			29205.6
22		41730			36663.4
23		42374			43808.9
24		751704			544910
25		3.94458e+06			2.59251e+06
26		9.27924e+06			5.30508e+06
27		1.47034e+07			5.52976e+06
28		1.80949e+07			8.47698e+06
29		2.0518e+07			1.38285e+07
30		9.21097e+07			4.95103e+07

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
30		1			1
35		11			11
36		56			56
37		600			593.567
38		5037			5065.01
39		5057			4849.26
40		5086			5073.91
41		6963			6688.85
42		33975			30748.2

p10.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
27		53			53

p04.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
21		1626			1626
26		716259			592599
28		3.78832e+06			1.96356e+06
30		4.92764e+06			2.40481e+06

p26.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
27		49			49
32		1.77144e+06			1.64514e+06
34		9.63724e+06			8.88599e+06
35		9.76636e+06			9.13102e+06

p06.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
25		1			1
30		10			10
31		424			426.688
32		478			501.752
34		56515			54380.2
36		136147			136036
37		1.93261e+07			1.84507e+07
38		3.77785e+07			5.89777e+07

p17.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
35		1			1
40		305			322.088
41		343			337.576
43		802			813.904
45		10722			10762.5
46		90040			95459.5
47		170559			145922
48		260880			266585
49		370866			356431
50		1.64444e+06			1.25821e+06

p20.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
25		1			1
30		4			4
32		38			37.801
33		59			59.557
34		78			76.152
35		84			83.716
36		127			128.26
37		2076			2139.28
38		2640			2690.46
39		132187			128117
40		229919			213175
41		375778			309981
42		505467			460108
43		876470			712352
44		6.73479e+06			5.24603e+06
45		1.40267e+07			1.70807e+07

p28.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
22		1			1
27		508			509.344
28		1775			1830.41
29		6246			6252.72
30		17581			17804.1
31		18494			17007.7
32		40099			38535.6
33		4.55823e+06			4.71812e+06
34		9.46695e+06			9.53304e+06
35		2.0016e+07			1.99406e+07

p23.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
43		4			4
47		32			32
48		1042			1020.31
50		46995			46593.2
51		49025			47076.1
52		1.35551e+06			1.34133e+06
53		3.69454e+07			3.7635e+07
54		3.69487e+07			3.77593e+07
55		3.94449e+07			3.65986e+07
56		3.97297e+07			3.31679e+07

p21.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
30		247			246.872
32		22576			22254.7
36		32063			31280.4
37		708724			910013
38		4.04953e+06			4.55055e+06
39		1.71392e+08			1.44662e+08
40		1.73363e+08			1.4962e+08

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
29		1			1
31		5			5
34		27			27
35		53			53
36		84			83.792
37		168			165.947
38		259			260.592
39		304			302.953
40		645			630.284
41		1971			2010.78
42		6578			6218.28
43		10472			9846.4
44		17881			15912
45		33504			29158.5
46		59676			44626
47		195526			159101
48		330334			256695
49		1.03647e+06			781337
50		8.25941e+06			3.89725e+06
51		9.45861e+06			7.73587e+06
52		3.85191e+07			3.01854e+07
53		9.60582e+07			8.17711e+07
54		1.44418e+08			1.07772e+08

p24.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
19		298			298
24		3124			3115.63
25		76375			62882
26		411712			222948
27		488995			287939
28		767984			429323
29		790448			397923
30		1.53967e+06			1.06044e+06
31		4.24962e+07			2.5013e+07

p09.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
28		1			1
33		10			10
35		38			38.087
37		134			134.454
38		170			170.765
39		173			172.773
40		2116			2088.58
41		2497			2468.94
42		12143			10710.3
43		21661			22416.1
44		59473			56678.8
45		153912			148376
46		209768			197402
47		3.50073e+06			1.23499e+06
48		6.03508e+06			3.49531e+07
49		2.17797e+07			1.58204e+07
50		3.65862e+07			2.40864e+07

p08.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
12		35			35
13		257			257
17		3426			3422.4
18		6357			6313.05
19		17367			15795.7
20		80185			62088.1
21		80811			63235.9
22		1.82683e+06			1.69945e+06
23		2.71953e+06			2.12124e+06
24		7.61989e+06			3.23947e+06
25		1.24578e+07			6.2175e+06
26		2.08719e+07			9.25469e+06

p16.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
28		1			1
33		10			10
34		13			13
35		31			31.048
36		36			36.08
37		57			57.488
38		96			95.865
39		150			151.787
40		526			520.353
41		979			965.768
42		3450			3489.89
43		4864			4609.09
44		7726			7619.48
45		16544			14876
46		26399			24175.7
47		272892			272810
48		449988			356031
49		1.27532e+06			1.49828e+06
50		1.79305e+06			1.20722e+06
51		2.69853e+06			1.24099e+06
52		1.25219e+07			1.06169e+07
53		2.28071e+07			1.84908e+07

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
39		2			2
41		3			3
44		659			664.928
45		660			665.602
46		671			665.44
47		691			685.876
48		697			676.496
49		39305			40320.5
50		53547			50434.7
51		89556			89994.7
52		105799			119573
53		147355			105904
54		1.16584e+06			1.00966e+06
55		2.20403e+06			2.63845e+06
56		7.35599e+06			5.87625e+06

p27.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
41		1			1
43		2			2
45		3			3
46		7			7.02
47		8			8.02
48		61			59.042
49		62			63.482
50		125			128.885
51		137			141.994
52		311			305.369
53		4632			4264.27
54		8340			7593.47
55		26117			26211.2
56		26462			25667.5
57		118919			112397
58		136070			125628
59		1.76706e+06			1.3258e+06
60		2.37699e+07			2.54784e+07
61		2.47144e+07			2.2091e+07

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
