	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1000 probes.

floortile-opt11-strips

opt-p02-003.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		1			1
21		2			2
22		4			4
23		9			8.989
24		24			23.819
25		58			56.288
26		172			168.193
27		481			493.236
28		1719			1754.4
29		5152			5227.36
30		20038			22677.3
31		61347			55597
32		248979			300476
33		769300			778503
34		3.20198e+06			4.06535e+06
35		9.94192e+06			2.05023e+07
36		4.21998e+07			2.66557e+07
37		1.31426e+08			8.96703e+07
38		5.67065e+08			2.25701e+08
39		1.7693e+09			1.17877e+09
40		7.74178e+09			2.92937e+09

opt-p01-001.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		32			31.629
21		256			255.044
22		2128			2080.56
23		9012			9023.96
24		59582			59738.1
25		202745			218350
26		1.20934e+06			1.07313e+06
27		3.72027e+06			4.17088e+06
28		2.10944e+07			2.21137e+07
29		6.15286e+07			7.46374e+07
30		3.38538e+08			4.04785e+08
31		9.57198e+08			7.56737e+08
32		5.16522e+09			2.16225e+09
33		1.43314e+10			2.73454e+10

opt-p01-002.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
23		1003			983.398
24		15513			15586.4
25		181935			184248
26		823372			802382
27		8.5931e+06			8.74843e+06
28		2.97322e+07			3.07959e+07
29		2.65183e+08			2.22426e+08
30		8.16401e+08			8.79477e+08
31		6.48904e+09			7.08635e+09
32		1.88254e+10			1.42484e+10

opt-p02-004.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
23		42			41.966
24		352			334.131
25		4067			4311.3
26		19602			19905.3
27		188187			202032
28		700154			652772
29		5.89709e+06			6.66318e+06
30		1.92516e+07			1.75859e+07
31		1.47404e+08			1.13316e+08
32		4.48767e+08			3.34764e+08
33		3.19207e+09			4.04306e+09
34		9.36604e+09			1.72685e+10

opt-p03-005.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
31		2007			1916.06
32		29205			27862
33		469701			466267
34		2.52687e+06			2.67914e+06
35		3.71615e+07			3.52515e+07
36		1.69714e+08			1.5965e+08
37		2.03137e+09			1.76575e+09
38		9.33236e+09			8.4723e+09
