	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1000 probes

parking-opt11-strips

pfile05-018.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		2			2
15		44			42.962
16		999			1014.31
17		21077			22509
18		416444			413963
19		7.95364e+06			7.50311e+06
20		1.47668e+08			1.50897e+08

pfile03-011.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
9		9			9.029
10		88			87.416
11		824			818.326
12		7675			7506.27
13		73959			74951.7
14		705194			707392

pfile03-012.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
12		1			1
13		10			10.06
14		181			176.986
15		2790			2714.06
16		40452			40083.9
17		559487			550077
18		7.42186e+06			7.22465e+06
19		9.59479e+07			9.81765e+07
20		1.21158e+09			1.28829e+09

pfile04-015.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
13		2			2
14		30			29.266
15		554			561.085
16		9398			9553.13
17		155074			154132
18		2.46534e+06			2.59558e+06
19		3.85537e+07			3.87843e+07

pfile04-013.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		1			1
15		18			17.828
16		323			326.038
17		5183			5379.48
18		83069			86992.4
19		1.2925e+06			1.28098e+06
20		1.98186e+07			1.98724e+07
