	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1000 probes.

tidybot-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		2			2
7		8			8
8		31			31
9		90			89.856
10		309			309.827
11		926			923.616
12		3307			3359.89
13		11001			11077.3
14		41097			41552.4
15		147520			156347
16		560964			582463
17		2.0793e+06			2.08903e+06
18		7.91177e+06			8.8209e+06
19		2.95398e+07			2.81446e+07

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		2			2
7		8			8
8		31			31
9		90			90.038
10		309			309.998
11		877			885.879
12		3007			3039.98
13		8766			8844.52
14		30648			30967.7
15		93240			96439.8
16		334658			319299
17		1.06791e+06			1.08188e+06
18		3.94038e+06			3.99668e+06
19		1.31401e+07			1.286e+07
20		4.96487e+07			5.01798e+07

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		1			1
8		3			3
9		7			7
10		20			19.981
11		49			49.545
12		149			149.217
13		375			370.908
14		1222			1199.27
15		3225			3291.87
16		11110			11806.6
17		31047			29868.1
18		111600			111029
19		330465			349379
20		1.22453e+06			1.50906e+06
21		3.81689e+06			4.14008e+06
22		1.44239e+07			1.46524e+07
23		4.6832e+07			4.4355e+07

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		5			5
7		27			27
8		133			133
9		471			470.555
10		1923			1931.75
11		6569			6590.87
12		26708			26323.9
13		96436			98746.5
14		398599			408093
15		1.51544e+06			1.51661e+06
16		6.26236e+06			6.34869e+06
17		2.44189e+07			2.49512e+07

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
11		3			3
12		9			9
13		21			21
14		59			59.041
15		150			153.213
16		455			459.381
17		1324			1363.9
18		4298			4406.84
19		13709			14386.2
20		45927			49677
21		152937			154671
22		517780			511397
23		1.75337e+06			1.85817e+06
24		5.95434e+06			5.92488e+06
25		2.02851e+07			2.11653e+07
26		6.89772e+07			6.82932e+07

p13.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		2			2
9		8			8
10		31			31
11		90			90.024
12		309			310.659
13		931			940.468
14		3292			3375.9
15		10936			10926.4
16		39918			40171.1
17		141437			143169
18		520240			522780
19		1.88877e+06			1.89279e+06
20		6.91198e+06			6.8155e+06
21		2.51879e+07			2.5944e+07
22		9.14574e+07			9.14664e+07

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		5			5
8		27			27
9		95			95
10		317			316.452
11		1084			1083.57
12		3543			3558.69
13		12073			12103.6
14		40910			41122.3
15		145044			142866
16		502302			523025
17		1.88258e+06			1.93311e+06

p05.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		2			2
10		8			8
11		23			23
12		62			62.15
13		180			180.071
14		473			475.988
15		1342			1344.68
16		3512			3519.2
17		9749			9773.57
18		25482			25745.5
19		70239			69462.8
20		184550			188650
21		513033			514313
22		1.36898e+06			1.42082e+06
23		3.89587e+06			3.83312e+06
24		1.06921e+07			1.19212e+07
25		3.15501e+07			3.22016e+07
26		9.009e+07			1.00633e+08
27		2.77555e+08			2.82138e+08

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		65			65

p10.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
11		3			3
12		9			9
13		21			21
14		59			58.951
15		150			151.208
16		455			462.802
17		1324			1382.85
18		4298			4404.34
19		13709			14515.6
20		45927			47802.2
21		152937			159558
22		517760			542441
23		1.75322e+06			1.8768e+06
24		5.95296e+06			5.98021e+06
25		2.0276e+07			2.15383e+07
26		6.89242e+07			7.38235e+07

p04.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		2			2
9		8			8
10		23			23
11		62			61.81
12		180			180.289
13		473			472.555
14		1342			1352.14
15		3512			3541.53
16		9720			9664.9
17		25324			25547.1
18		68967			70319.4
19		178873			181903
