	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 1000 probes.

floortile-opt11-strips

opt-p01-001.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
28		6			6
29		28			27.748
30		231			229.396
31		917			916.344
32		5258			5182.82
33		20682			20393.6
34		105783			95574.1
35		416177			413950
36		1.96012e+06			1.79778e+06
37		7.77007e+06			7.25381e+06
38		3.61606e+07			2.96574e+07

opt-p01-002.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
24		1			1
25		31			31.278
26		118			121.625
27		591			597.877
28		2214			2223.16
29		9456			10316.6
30		37208			37708.9
31		150454			130754
32		654579			613598
33		3.53239e+06			3.28438e+06
