	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 100 probes.

elevators-opt08-strips

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
30		1			1
35		4			4
36		5			5
37		7			7
39		9			9.08
40		24			24.11
41		39			38.72
42		63			68.38
43		72			80.59
44		142			141.34
45		237			233.99
46		351			363.19
47		715			633.11
48		1322			1026.83
49		2793			3528.8
50		4289			4176.5
51		7543			8425.65
52		13977			10579.4
53		40581			25698.5
54		315850			125780

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
25		1			1
26		4			4
27		7			7
31		10			10
32		22			22
33		94			88.59
34		134			128.91
35		300			310.71
36		1106			961.36
37		1395			1511.86
38		2336			2180.88
39		3365			3554.95
40		8311			7846.66
41		25877			26692.7
42		46072			49820.5

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
39		2			2
41		4			4
42		6			6
43		18			17.43
44		28			27.82
45		35			35.05
46		65			66.66
47		94			94.14
48		193			191.63
49		268			255.78
50		588			533.22
51		1054			1113.33
52		2250			2644.63
53		3731			3486.66
54		6159			5597.49
55		13525			11818.8
56		25172			24643.2

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		1			1
24		39			39
26		27378			26730.3
