	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 100 probes.

transport-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
183		34			----zero_info----
184		57			----zero_info----
185		421			----zero_info----
186		549			----zero_info----
187		4166			----zero_info----
188		4824			----zero_info----
189		38736			----zero_info----
190		41955			----zero_info----
191		352623			----zero_info----
192		367931			----zero_info----

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
396		1			----zero_info----
403		3			----zero_info----
405		5			----zero_info----
406		6			----zero_info----
407		8			----zero_info----
409		10			----zero_info----
411		12			----zero_info----
413		14			----zero_info----
415		16			----zero_info----
417		19			----zero_info----
419		22			----zero_info----
420		23			----zero_info----
421		26			----zero_info----
422		27			----zero_info----
423		30			----zero_info----
424		38			----zero_info----
425		42			----zero_info----
426		59			----zero_info----
427		65			----zero_info----
428		84			----zero_info----
429		92			----zero_info----
430		114			----zero_info----
431		124			----zero_info----
432		148			----zero_info----
433		165			----zero_info----
434		191			----zero_info----
435		216			----zero_info----
436		245			----zero_info----
437		280			----zero_info----
438		317			----zero_info----
439		381			----zero_info----
440		448			----zero_info----
441		590			----zero_info----
442		782			----zero_info----
443		1176			----zero_info----
444		1828			----zero_info----
445		3143			----zero_info----
446		5584			----zero_info----
447		10477			----zero_info----
448		20015			----zero_info----
449		39116			----zero_info----
450		77047			----zero_info----
451		153039			----zero_info----
452		304920			----zero_info----
453		609329			----zero_info----
454		1.21906e+06			----zero_info----

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
337		3			----zero_info----
348		6			----zero_info----
349		7			----zero_info----
353		9			----zero_info----
357		11			----zero_info----
358		13			----zero_info----
363		16			----zero_info----
364		19			----zero_info----
367		23			----zero_info----
369		25			----zero_info----
371		29			----zero_info----
374		36			----zero_info----
375		39			----zero_info----
376		41			----zero_info----
377		42			----zero_info----
378		46			----zero_info----
379		54			----zero_info----
382		55			----zero_info----
383		65			----zero_info----
384		71			----zero_info----
386		72			----zero_info----
387		74			----zero_info----
388		81			----zero_info----
389		89			----zero_info----
390		111			----zero_info----
391		112			----zero_info----
392		113			----zero_info----
393		124			----zero_info----
394		129			----zero_info----
395		169			----zero_info----
396		172			----zero_info----
397		186			----zero_info----
398		196			----zero_info----
399		202			----zero_info----
400		226			----zero_info----
401		235			----zero_info----
402		261			----zero_info----
403		271			----zero_info----
404		287			----zero_info----
405		302			----zero_info----
406		305			----zero_info----
407		332			----zero_info----
408		347			----zero_info----
409		396			----zero_info----
410		423			----zero_info----
411		424			----zero_info----
412		457			----zero_info----
413		502			----zero_info----
414		518			----zero_info----
415		547			----zero_info----
416		598			----zero_info----
417		651			----zero_info----
418		682			----zero_info----
419		733			----zero_info----
420		766			----zero_info----
421		909			----zero_info----
422		944			----zero_info----
423		1005			----zero_info----
424		1122			----zero_info----
425		1171			----zero_info----
426		1248			----zero_info----
427		1301			----zero_info----
428		1416			----zero_info----
429		1565			----zero_info----
430		1659			----zero_info----
431		1738			----zero_info----
432		1783			----zero_info----
433		1891			----zero_info----
434		2036			----zero_info----
435		2212			----zero_info----
436		2441			----zero_info----
437		2517			----zero_info----
438		2686			----zero_info----
439		2935			----zero_info----
440		3057			----zero_info----
441		3333			----zero_info----
442		3530			----zero_info----
443		3819			----zero_info----
444		3998			----zero_info----
445		4231			----zero_info----
446		4600			----zero_info----
447		5152			----zero_info----
448		5390			----zero_info----
449		5741			----zero_info----
450		6285			----zero_info----
451		6660			----zero_info----
452		7066			----zero_info----
453		7477			----zero_info----
454		8082			----zero_info----
455		8939			----zero_info----
456		9454			----zero_info----
457		9963			----zero_info----
458		10563			----zero_info----
459		11201			----zero_info----
460		11928			----zero_info----
461		12604			----zero_info----
462		13761			----zero_info----
463		14640			----zero_info----
464		15531			----zero_info----
465		16770			----zero_info----
466		17492			----zero_info----
467		19277			----zero_info----
468		20550			----zero_info----
469		22074			----zero_info----
470		23628			----zero_info----
471		24858			----zero_info----
472		26717			----zero_info----
473		29274			----zero_info----
474		31053			----zero_info----
475		33345			----zero_info----
476		35888			----zero_info----
477		37950			----zero_info----
478		40223			----zero_info----
479		42763			----zero_info----
480		46182			----zero_info----
481		50368			----zero_info----
482		53472			----zero_info----
483		56568			----zero_info----
484		60427			----zero_info----
485		64618			----zero_info----
486		68339			----zero_info----
487		72529			----zero_info----
488		78171			----zero_info----
489		84210			----zero_info----
490		132022			----zero_info----
491		181432			----zero_info----
492		414261			----zero_info----
493		736390			----zero_info----
494		2.692e+06			----zero_info----

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
456		1			----zero_info----
511		2			----zero_info----
533		4			----zero_info----
534		68			----zero_info----
535		72			----zero_info----
536		140			----zero_info----
537		144			----zero_info----
538		216			----zero_info----
539		233			----zero_info----
540		308			----zero_info----
541		329			----zero_info----
542		407			----zero_info----
543		432			----zero_info----
544		528			----zero_info----
545		560			----zero_info----
546		701			----zero_info----
547		748			----zero_info----
548		1047			----zero_info----
549		1155			----zero_info----
550		2063			----zero_info----
551		2499			----zero_info----
552		5941			----zero_info----
553		8376			----zero_info----
554		21919			----zero_info----
555		35328			----zero_info----
556		89221			----zero_info----
557		158705			----zero_info----
558		373924			----zero_info----
559		716738			----zero_info----

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
348		1			----zero_info----
351		2			----zero_info----
357		3			----zero_info----
364		4			----zero_info----
366		6			----zero_info----
371		7			----zero_info----
374		9			----zero_info----
375		11			----zero_info----
377		12			----zero_info----
378		14			----zero_info----
382		15			----zero_info----
385		16			----zero_info----
386		17			----zero_info----
387		19			----zero_info----
389		21			----zero_info----
390		23			----zero_info----
392		24			----zero_info----
393		25			----zero_info----
394		28			----zero_info----
395		33			----zero_info----
397		35			----zero_info----
398		37			----zero_info----
399		41			----zero_info----
401		45			----zero_info----
402		51			----zero_info----
404		57			----zero_info----
405		62			----zero_info----
406		67			----zero_info----
407		69			----zero_info----
408		74			----zero_info----
409		76			----zero_info----
410		83			----zero_info----
411		85			----zero_info----
412		90			----zero_info----
413		111			----zero_info----
414		115			----zero_info----
415		125			----zero_info----
416		137			----zero_info----
417		140			----zero_info----
418		163			----zero_info----
419		180			----zero_info----
420		184			----zero_info----
421		196			----zero_info----
422		212			----zero_info----
423		220			----zero_info----
424		227			----zero_info----
425		260			----zero_info----
426		292			----zero_info----
427		299			----zero_info----
428		318			----zero_info----
429		342			----zero_info----
430		358			----zero_info----
431		395			----zero_info----
432		436			----zero_info----
433		509			----zero_info----
434		547			----zero_info----
435		578			----zero_info----
436		630			----zero_info----
437		692			----zero_info----
438		729			----zero_info----
439		786			----zero_info----
440		858			----zero_info----
441		901			----zero_info----
442		1021			----zero_info----
443		1123			----zero_info----
444		1158			----zero_info----
445		1236			----zero_info----
446		1363			----zero_info----
447		1407			----zero_info----
448		1499			----zero_info----
449		1650			----zero_info----
450		1871			----zero_info----
451		1992			----zero_info----
452		2186			----zero_info----
453		2413			----zero_info----
454		2636			----zero_info----
455		2798			----zero_info----
456		3133			----zero_info----
457		3514			----zero_info----
458		3821			----zero_info----
459		4128			----zero_info----
460		4529			----zero_info----
461		4953			----zero_info----
462		5384			----zero_info----
463		5809			----zero_info----
464		6258			----zero_info----
465		6496			----zero_info----
466		7320			----zero_info----
467		7871			----zero_info----
468		8452			----zero_info----
469		9300			----zero_info----
470		10395			----zero_info----
471		11390			----zero_info----
472		12168			----zero_info----
473		13403			----zero_info----
474		14763			----zero_info----
475		15930			----zero_info----
476		17518			----zero_info----
477		19766			----zero_info----
478		22188			----zero_info----
479		23689			----zero_info----
480		26538			----zero_info----
481		29316			----zero_info----
482		31180			----zero_info----
483		33774			----zero_info----
484		36406			----zero_info----
485		39412			----zero_info----
486		42497			----zero_info----
487		47148			----zero_info----
488		51169			----zero_info----
489		54897			----zero_info----
490		61452			----zero_info----
491		65895			----zero_info----
492		71153			----zero_info----
493		78385			----zero_info----
494		88013			----zero_info----
495		97477			----zero_info----
496		106181			----zero_info----
497		117277			----zero_info----
498		130801			----zero_info----
499		142197			----zero_info----
500		156197			----zero_info----

p13.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
154		69			----zero_info----
155		122			----zero_info----
156		129			----zero_info----
157		214			----zero_info----
158		248			----zero_info----
159		373			----zero_info----
160		517			----zero_info----
161		697			----zero_info----
162		1293			----zero_info----
163		1582			----zero_info----
164		4034			----zero_info----
165		4702			----zero_info----
166		14770			----zero_info----
167		17202			----zero_info----
168		58502			----zero_info----
169		69849			----zero_info----
170		239151			----zero_info----
171		294999			----zero_info----
172		988686			----zero_info----
173		1.26192e+06			----zero_info----
174		4.10253e+06			----zero_info----

p05.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
406		2			----zero_info----
408		4			----zero_info----
410		6			----zero_info----
412		8			----zero_info----
414		10			----zero_info----
416		12			----zero_info----
418		14			----zero_info----
420		16			----zero_info----
422		18			----zero_info----
424		20			----zero_info----
426		22			----zero_info----
428		24			----zero_info----
430		26			----zero_info----
432		28			----zero_info----
434		30			----zero_info----
436		32			----zero_info----
438		34			----zero_info----
440		36			----zero_info----
442		38			----zero_info----
444		40			----zero_info----
446		42			----zero_info----
448		44			----zero_info----
450		46			----zero_info----
452		48			----zero_info----
454		50			----zero_info----
456		52			----zero_info----
457		53			----zero_info----
458		556103			----zero_info----
459		1.22882e+06			----zero_info----

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
409		2			----zero_info----
411		4			----zero_info----
413		18			----zero_info----
414		33			----zero_info----
415		61			----zero_info----
416		95			----zero_info----
417		135			----zero_info----
418		192			----zero_info----
419		244			----zero_info----
420		328			----zero_info----
421		392			----zero_info----
422		507			----zero_info----
423		583			----zero_info----
424		733			----zero_info----
425		821			----zero_info----
426		1010			----zero_info----
427		1110			----zero_info----
428		1342			----zero_info----
429		1454			----zero_info----
430		1735			----zero_info----
431		1919			----zero_info----
432		2259			----zero_info----
433		2515			----zero_info----
434		2922			----zero_info----
435		3250			----zero_info----
436		3732			----zero_info----
437		4132			----zero_info----
438		4697			----zero_info----
439		5169			----zero_info----
440		5825			----zero_info----
441		6369			----zero_info----
442		7124			----zero_info----
443		7740			----zero_info----
444		8602			----zero_info----
445		9290			----zero_info----
446		10267			----zero_info----
447		11027			----zero_info----
448		12127			----zero_info----
449		12959			----zero_info----
450		14190			----zero_info----
451		15094			----zero_info----
452		16464			----zero_info----
453		17444			----zero_info----
454		18961			----zero_info----
455		20025			----zero_info----
456		21697			----zero_info----
457		22925			----zero_info----
458		24902			----zero_info----
459		26524			----zero_info----
460		29173			----zero_info----
461		31624			----zero_info----
462		35727			----zero_info----
463		40257			----zero_info----
464		48692			----zero_info----
465		64822			----zero_info----
466		100959			----zero_info----
467		229943			----zero_info----
468		535451			----zero_info----
469		1.86886e+06			----zero_info----
470		4.97789e+06			----zero_info----
471		1.90118e+07			----zero_info----

p10.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
213		1921			----zero_info----
214		1924			----zero_info----
215		87658			----zero_info----
216		183784			----zero_info----
217		1.63458e+06			----zero_info----

p04.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
304		1			----zero_info----
317		2			----zero_info----
322		3			----zero_info----
325		4			----zero_info----
334		5			----zero_info----
337		8			----zero_info----
341		9			----zero_info----
344		10			----zero_info----
348		12			----zero_info----
352		14			----zero_info----
353		16			----zero_info----
358		17			----zero_info----
359		18			----zero_info----
360		22			----zero_info----
361		25			----zero_info----
363		28			----zero_info----
364		29			----zero_info----
365		33			----zero_info----
369		34			----zero_info----
370		39			----zero_info----
372		40			----zero_info----
373		48			----zero_info----
374		50			----zero_info----
375		53			----zero_info----
376		57			----zero_info----
377		62			----zero_info----
379		63			----zero_info----
380		65			----zero_info----
381		69			----zero_info----
382		77			----zero_info----
383		82			----zero_info----
384		87			----zero_info----
385		102			----zero_info----
386		114			----zero_info----
387		121			----zero_info----
388		125			----zero_info----
389		141			----zero_info----
390		151			----zero_info----
391		155			----zero_info----
392		169			----zero_info----
393		170			----zero_info----
394		174			----zero_info----
395		176			----zero_info----
396		195			----zero_info----
397		216			----zero_info----
398		225			----zero_info----
399		242			----zero_info----
400		264			----zero_info----
401		307			----zero_info----
402		323			----zero_info----
404		331			----zero_info----
405		340			----zero_info----
406		372			----zero_info----
407		393			----zero_info----
408		429			----zero_info----
409		489			----zero_info----
410		517			----zero_info----
411		564			----zero_info----
412		596			----zero_info----
413		637			----zero_info----
