	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 10 probes.

transport-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
74		2			2
75		7			7
76		19			19.5
77		47			51.3
78		111			116.7
79		255			249.2
80		575			499.9
81		1279			1476.9
82		2815			2445
83		6143			6116.8
84		13311			12777
85		28671			29633
86		61439			63168.4
87		131074			141756
88		278546			370941
89		589913			180.2
90		1.24553e+06			1.3521e+06
91		2.62269e+06			1327.8
92		5.50925e+06			1835.7
93		1.15483e+07			1751.4

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
255		2			2
277		5			5
278		9			9
279		14			14
280		22			22.3
281		36			36.3
282		51			36.8
283		69			72.5
284		90			76.7
285		113			110.8
286		140			134
287		169			131.8
288		202			183.4
289		237			215.9
290		276			312.3
291		319			364.2
292		366			392.4
293		416			452.5
294		471			381.5
295		534			563.5
296		603			442
297		683			601.6
298		770			856.9
299		875			1355.2
300		989			761.4
301		1129			686.6
302		1288			1197.5
303		1498			718.9
304		1761			582.6
305		2137			824.9
306		2701			23949.8
307		3675			2613.6
308		5440			5277.5
309		8913			6368.3
310		15940			11193.1
311		30602			21080.1
312		61434			75017.8
313		126765			42661.5
314		265197			206811
315		558506			157290
316		1.17866e+06			206362
317		2.48729e+06			1.45463e+06
318		5.24208e+06			1.44882e+06
319		1.10284e+07			2.10552e+06
320		2.31559e+07			7.74563e+06
321		4.85226e+07			1.9822e+07

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
237		2			2
250		5			5
258		7			7
260		9			9
263		13			12.2
265		15			15
271		20			20.2
273		25			25
275		28			32.4
276		33			40.1
278		40			50
283		42			49.8
284		51			49.6
285		52			45.6
286		70			70.6
287		73			55
288		74			56
289		88			105.4
290		89			100.3
291		106			71.9
292		109			106.7
293		110			107.2
294		113			126.1
295		114			127.1
296		127			174.8
297		142			124.3
298		151			119.9
299		172			133.5
300		185			150.8
301		197			166.2
302		219			191.6
303		235			219.9
304		277			301.6
305		297			289.4
306		312			246.2
307		355			314.6
308		371			420.4
309		424			449.6
310		475			472.8
311		506			308
312		604			730.2
313		663			756.7
314		743			930
315		831			449.2
316		899			1520.8
317		1057			998.2
318		1171			1332.9
319		1289			1385
320		1445			1767.9
321		1602			1127
322		1829			812.5
323		2060			14554.6
324		2327			3868.5
325		2696			2353.6
326		3045			1516.5
327		3421			1206.1
328		3906			1874.1
329		4473			1531.7
330		5211			2361.9
331		5982			958.7
332		6935			2292
333		8121			2494.7
334		9472			5170.1
335		11291			3219.9
336		13558			7368.6
337		16525			63257.9
338		21056			10209.6
339		27913			26549
340		39550			11740.7
341		60936			9737.8
342		101221			33185.2
343		181953			13608.1
344		342354			16789.3
345		672613			15376.8
346		1.34226e+06			19231.9
347		2.733e+06			87922.1
348		5.56647e+06			42134
349		1.14589e+07			24586
350		2.3474e+07			75980.9
351		4.84345e+07			255771

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
262		1			1
270		2			2
287		3			3
288		4			4
289		5			5
290		6			6
291		7			7
292		9			9
293		11			11
294		14			14
295		18			18
296		23			23
297		29			29.4
298		36			38
299		44			45.2
300		54			61.2
301		65			69.6
302		79			80.1
303		94			85.6
304		113			104.5
305		133			112.8
306		158			156.9
307		184			205
308		216			220.4
309		249			217
310		289			233.2
311		330			327.8
312		379			303.3
313		429			545.7
314		489			382
315		550			868.2
316		621			451.4
317		694			869.8
318		779			1434.6
319		867			187.4
320		968			372.2
321		1073			924
322		1194			2563.8
323		1321			1495
324		1467			1175.4
325		1622			1116.8
326		1802			432
327		1996			682.2
328		2221			355.6
329		2468			156.4
330		2758			851.2
331		3078			863.8
332		3460			103.8
333		3883			876.8
334		4403			1124.7
335		4980			557.9
336		5716			557.6
337		6544			4374.4
338		7661			1372
339		8978			1293.4
340		10916			2300.9
341		13451			7181.7
342		17622			6837
