	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 10 probes.

woodworking-opt08-strips

p22.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
60		1			1
70		3			3
80		11			8.6
90		19			19
95		35			36.6
100		77			36.2
105		101			113.8
110		241			91
115		365			359
120		675			345
125		1263			1229.4
130		2395			3294.4
135		3919			11318.6
140		8517			10436.8
145		14709			30558.8
150		27171			18861.4
155		56235			137009
160		105033			37211.4
165		188407			89886
170		404575			153374
175		782265			629599
180		1.42494e+06			1.93425e+06
185		3.21408e+06			663145

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
80		2			2
90		9			9.6
95		18			16.4
100		50			56.8
105		120			96.2
110		303			436
115		725			595.1
120		1721			2735.3
125		4191			5116.3
130		9594			6340.6
135		23038			16282.1
140		53993			50144.6
145		124910			57439.5
150		289302			386679
155		675581			461140
160		1.55208e+06			3.77381e+06
165		3.55652e+06			1.75304e+06
170		8.19611e+06			5.38823e+06

p21.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
40		1			1
60		2			2
65		3			3
70		7			7
75		12			12
80		30			31.6
85		56			58
90		141			70.2
95		468			163.4

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
50		1			1
60		3			3
70		6			6
75		7			7
80		20			18.6
85		26			20.4
90		81			88.2
95		109			90.1
100		264			154.6
105		416			365.1
110		1046			430.2
115		1812			1841.2
120		4511			2255.5
125		8855			16909
130		20201			39919
