	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 10 probes.

barman-opt11-strips

pfile01-004.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		11			13
21		39			39
22		393			346.2
23		1535			1703
24		11535			9826
25		46079			49195.6
26		313741			326724
27		1.24e+06			1.08222e+06
28		8.05636e+06			1.61126e+07
29		3.12866e+07			1.4225e+07
30		1.98289e+08			3.03978e+08
31		7.56641e+08			9.90705e+08
32		4.72728e+09			1.14278e+10
33		1.77578e+10			1.89665e+10

pfile02-005.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
21		9			9
22		15			15.8
23		315			413.4
24		665			644.8
25		8917			8935.8
26		23849			10411.2
27		246839			187259
28		781103			665956
29		6.70237e+06			4.23142e+06
30		2.39819e+07			1.8025e+07
31		1.79038e+08			2.17561e+08
32		7.03811e+08			3.27675e+08
33		4.72021e+09			4.18414e+09

pfile01-003.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		11			11.8
21		39			34.6
22		393			266.4
23		1535			1440.2
24		11553			7702.6
25		46085			59817
26		314473			175429
27		1.24037e+06			2.54704e+06
28		8.07732e+06			5.71898e+06
29		3.1301e+07			2.56825e+07
30		1.98813e+08			1.9502e+08
31		7.57102e+08			3.41115e+08
32		4.73944e+09			5.10676e+09
33		1.77709e+10			6.5543e+09

pfile01-002.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		11			10.6
21		39			46
22		393			450.8
23		1535			1518.4
24		11535			11516.6
25		46079			56968.6
26		313741			277097
27		1.24e+06			838409
28		8.05636e+06			7.92925e+06
29		3.12866e+07			2.42628e+07
30		1.98289e+08			1.3423e+08
31		7.56641e+08			4.7748e+08
32		4.72728e+09			3.05661e+09
33		1.77578e+10			1.71624e+10

pfile01-001.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
19		7			7
20		9			9
21		165			130.6
22		233			241
23		3077			2183.4
24		4889			6282
25		56981			44337.4
26		100793			46612.2
27		1.05778e+06			1.18742e+06
28		2.05559e+06			1.19893e+06
29		1.968e+07			5.10862e+06
30		4.15379e+07			4.35304e+07
31		3.66864e+08			2.92354e+08
32		8.32958e+08			2.85402e+08
33		6.85133e+09			1.67572e+09
