	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 10 probes

elevators-opt11-strips

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
39		2			2
41		3			3
44		659			882.2
45		660			711.6
46		671			661.8
47		691			635.6
48		697			754
49		39305			88685.7
50		53547			20842.2
51		89556			21531.3
52		105799			65396.2
53		147355			31833.6
54		1.16584e+06			495163
55		2.20403e+06			402838
56		7.35599e+06			1.62846e+06

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
27		2			2
29		3			3
32		13			13
33		17			17.4
34		30			34
35		37			38.2
36		41			40.6
37		155			167.8
38		199			232.4
39		600			678.4
40		851			929
41		1274			1021.2
42		3533			3684.5
43		5046			8215.3
44		19077			48099.2
45		27301			7495.3
46		89272			44812.6
47		183196			30735.9
48		759179			117968
49		2.6807e+06			51476.9
50		3.48761e+06			405160
51		8.18974e+06			795490
52		1.41758e+07			296102
53		5.78546e+07			9.66462e+06
54		2.09614e+08			2.59526e+06
