	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 10 probes

tidybot-opt11-strips

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		5			5
8		27			27
9		95			95
10		317			326.7
11		1084			1060.4
12		3543			3487.7
13		12073			10590.8
14		40910			53095.3
15		145044			130152
16		502302			341781
17		1.88258e+06			2.59898e+06

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		65			65

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		5			5
8		27			27
9		95			95
10		317			330.2
11		1084			1097.5
12		3543			3398.8
13		12173			8963.7
14		42555			45919.3
15		154176			163353
16		591627			663533
