	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 10 probes.

blocks

probBLOCKS-15-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
28		3			3
29		30			27.5
30		209			276
31		1515			1005
32		8909			7953.8
33		59001			67647.9
34		331331			395077
35		2.10821e+06			2.2506e+06
36		1.1776e+07			1.10198e+07

probBLOCKS-16-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
28		1			1
29		3			3
30		9			9
31		21			19.8
32		70			60
33		168			145.8
34		644			782.4
35		1647			2095.8
36		7137			10454.4
37		19859			20104.8
38		94203			49338
39		289017			77636.4
40		1.45784e+06			540559
41		4.96028e+06			859729
42		2.60543e+07			4.52775e+06

probBLOCKS-5-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
10		2			2
11		4			4
12		7			7
13		15			15.2
14		28			29.8
15		77			68
16		204			97.2

probBLOCKS-9-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
17		1			1
18		3			3
19		8			7.8
20		22			20.2
21		54			52.8
22		184			255.8
23		469			596.8
24		1946			1759.4
25		5217			8932.4
26		26768			9234.2

probBLOCKS-8-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		10			10.8
15		39			39
16		421			260.4

probBLOCKS-6-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
11		2			2
12		19			17.8

probBLOCKS-4-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		8			8

probBLOCKS-8-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
13		2			2
14		5			5
15		29			31.2
16		109			89.4
17		466			457.6
18		2521			2483.2

probBLOCKS-4-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
7		3			3
8		5			5
9		10			10
10		26			40.4

probBLOCKS-13-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
24		1			1
25		4			4
26		18			15.7
27		53			51.7
28		234			182.2
29		684			460
30		3204			2697.4
31		10023			5442.1
32		49941			60361
33		173198			257753
34		902022			1.11246e+06
35		3.48794e+06			996464
36		1.86257e+07			2.29166e+07

probBLOCKS-11-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
19		1			1
20		5			5.2
21		18			18.4
22		104			57.1
23		340			266.2
24		2155			798.4
25		7119			7994.5
26		43459			124614
27		155325			174175
28		871825			821758
29		3.43459e+06			6.21029e+06
30		1.78368e+07			3.78605e+06
31		7.71017e+07			5.58982e+07

probBLOCKS-12-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
22		1			1
23		4			4
24		18			19
25		53			55
26		251			319.6
27		758			711.1
28		3775			3433.3
29		14411			7881.4
30		68728			34817.5
31		383532			43127.5
32		1.64984e+06			4.03747e+06
33		1.26149e+07			8.21096e+06
34		5.0582e+07			7.81181e+06

probBLOCKS-13-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
25		1			1
26		4			3.6
27		11			11.4
28		35			33.4
29		93			100
30		311			248.8
31		881			736
32		3195			3872.4
33		9980			12998.4
34		39749			21282.8
35		137907			181896
36		607012			455441
37		2.325e+06			1.14665e+06
38		1.11623e+07			1.90598e+06

probBLOCKS-5-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		2			2
9		7			7.8
10		15			14.5
11		47			51
12		113			98.5

probBLOCKS-7-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
12		1			1
13		3			3
14		12			11.4
15		27			27
16		94			108
17		223			199.2
18		805			941.4
19		2102			3179.4
20		8768			6819.6

probBLOCKS-17-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
33		2			2
34		35			29.4
35		178			177.3
36		1324			639.9
37		7264			6746.3
38		48741			68687.3
39		282423			331456
40		1.88027e+06			1.47112e+06
41		1.15131e+07			4.40571e+06

probBLOCKS-5-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		2			2
8		4			4
9		14			14
10		55			46

probBLOCKS-11-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
19		1			1
20		3			3
21		8			8
22		20			19.4
23		56			53.4
24		150			153.4
25		476			474
26		1402			1272
27		5059			4216.6
28		16498			11823.6
29		68569			32087.2
30		248004			215754
31		1.18976e+06			797126
32		4.71755e+06			6.59286e+06
33		2.52968e+07			2.06413e+07

probBLOCKS-12-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
22		1			1
23		3			3
24		9			9
25		21			20.4
26		66			58.2
27		160			174.6
28		569			597.6
29		1470			1065
30		6079			4566
31		16976			37706.4
32		82805			27570.6
33		255693			280596
34		1.49834e+06			341647

probBLOCKS-15-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
28		1			1
29		3			3
30		9			9
31		23			22.8
32		71			70.2
33		191			197.4
34		649			530.4
35		1873			2221.8
36		6940			5223.6
37		21302			25117.8
38		84257			32212.8
39		273069			263225
40		1.13106e+06			1.00846e+06
41		3.87163e+06			1.36658e+07
42		1.6583e+07			1.7838e+06

probBLOCKS-7-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
12		1			1
13		3			3
14		8			8
15		21			19.8
16		60			51.8
17		157			157.4
18		564			325
19		1511			1361.8
20		7540			4247.8
21		21140			19870.6
22		131794			72937.8

probBLOCKS-8-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
13		2			2
14		9			10.4
15		42			48.9
16		182			211.4
17		815			728.5
18		3440			2493.1
19		17354			23147.9
20		71950			48579.9

probBLOCKS-6-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
11		1			1
12		2			2
13		4			4
14		9			7.6
15		17			22.8
16		52			42.4
17		106			46
18		415			202.4
19		987			1917.8
20		4387			3577.8

probBLOCKS-14-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
25		1			1
26		4			4
27		12			10.3
28		41			39.4
29		128			108.4
30		499			415.3
31		1670			1277.2
32		8218			8980
33		30024			21073.9
34		178172			57677.2
35		775833			266500
36		4.81924e+06			4.14787e+06
37		2.61816e+07			2.89745e+06

probBLOCKS-10-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
18		2			2
19		4			4
20		13			13.6
21		27			25
22		84			98.4
23		194			190
24		661			618.4
25		1692			2014.6
26		6258			7809.8
27		17636			6036.6
28		69087			35279.4
29		214261			86063.6
30		881949			2.66841e+06
31		3.01722e+06			2.77515e+06
32		1.31407e+07			2.47344e+06
33		4.9715e+07			3.28626e+07

probBLOCKS-4-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		10			7.6

probBLOCKS-7-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
13		1			1
14		3			3
15		5			5
16		12			12
17		21			22
18		58			56
19		124			132.4
20		448			409.1

probBLOCKS-16-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
31		1			1
32		7			7.3
33		22			22
34		115			123.7
35		374			322.9
36		1902			1551.1
37		6670			5001.4
38		33931			41459.8
39		129449			113568
40		667239			409284
41		2.76616e+06			1.59421e+06
42		1.46235e+07			3.46862e+07

probBLOCKS-10-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
19		1			1
20		3			3
21		8			8.2
22		18			20
23		48			50.8
24		113			95.8
25		358			332
26		925			1215.6
27		3526			1511.6
28		10408			11641.2
29		46288			20586
30		164148			96781.2
31		816718			61110.2
32		3.54162e+06			815573
33		1.87863e+07			1.54362e+07
34		9.56621e+07			4.11423e+06

probBLOCKS-14-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
27		2			2
28		18			18
29		118			128.9
30		765			1327.1
31		4697			4449.2
32		31357			56071.5
33		187062			242323
34		1.32131e+06			2.82041e+06
35		7.86661e+06			3.40936e+06

probBLOCKS-6-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		19			4

probBLOCKS-11-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		4			4
21		9			9
22		55			53.4
23		186			204.9
24		1022			1122.1
25		4085			3985.7
26		22066			22539.9
27		102342			150327
28		564763			427507
29		2.9654e+06			2.71123e+06
30		1.72183e+07			2.47075e+07

probBLOCKS-10-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
19		1			1
20		3			3
21		11			11.4
22		25			25.8
23		92			85.2
24		226			266.4
25		900			1248
26		2500			2385.6
27		10761			11394.6
28		33774			32890.2
29		155907			93988.2
30		550969			608804
31		2.71071e+06			3.02319e+06
32		1.09385e+07			4.32414e+06

probBLOCKS-9-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
16		1			1
17		3			3
18		8			8
19		18			20.2
20		49			54.4
21		114			93
22		366			185.6
23		908			635.2
24		3334			5057.4
25		8822			10216.2
26		34813			26756.4
27		99120			62493.8
28		401347			545958
29		1.24814e+06			922636
30		5.07967e+06			1.54568e+06

probBLOCKS-9-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
16		1			1
17		2			2
18		3			3
19		6			6
20		9			9
21		20			21
22		33			34
23		88			95.9
24		167			169.1
25		536			341.8
26		1222			1426.4
27		4562			2269.9
28		14228			9211.7
