	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1 probe.

barman-opt11-strips

pfile05-018.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		19			19
15		21			21
16		907			627
17		1059			627
18		34825			12747
19		43965			12747
20		1.33168e+06			267267
21		1.81181e+06			267267
22		5.09419e+07			5.35767e+06

pfile01-004.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		9			9
15		11			11
16		207			115
17		279			167
18		3855			5315
19		5895			1727
20		71367			48527
21		122151			58927
22		1.32414e+06			750059
23		2.50036e+06			173327
24		2.46212e+07			3.34685e+07
25		5.06703e+07			87

pfile03-009.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		13			13
15		15			15
16		427			315
17		531			315
18		11311			21515
19		15579			4815
20		298075			67815
21		451419			67815
22		7.86258e+06			4.37152e+06
23		1.29751e+07			6.33152e+06

pfile05-019.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		19			19
15		21			21
16		907			627
17		1059			627
18		34825			8707
19		43965			85467
20		1.33168e+06			1.71763e+06
21		1.81181e+06			2.53371e+06
22		5.09419e+07			3.68091e+07

pfile03-011.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		13			13
15		15			15
16		427			215
17		531			315
18		11311			4815
19		15579			4515
20		298075			259315
21		451419			451515
22		7.86258e+06			6.33152e+06
23		1.29751e+07			6.33152e+06

pfile05-017.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		19			19
15		21			21
16		907			627
17		1059			627
18		34825			8707
19		43965			13353
20		1.33168e+06			191517
21		1.81181e+06			280599
22		5.09419e+07			5.34555e+06

pfile03-012.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		13			13
15		15			15
16		427			315
17		531			315
18		11311			4515
19		15579			4515
20		298075			63315
21		451419			63315
22		7.86258e+06			886515
23		1.29751e+07			886515

pfile02-006.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		11			11
15		13			13
16		307			161
17		395			235
18		6921			2011
19		9973			2899
20		155157			40639
21		247955			152971
22		3.48326e+06			490855
23		6.10424e+06			490855
24		7.83038e+07			5.89345e+06
25		1.49012e+08			7.05776e+06

pfile02-005.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		11			11
15		13			13
16		307			827
17		395			975
18		6921			2159
19		9973			3121
20		155157			15627
21		247955			34867
22		3.48326e+06			311923
23		6.10424e+06			450451
24		7.83038e+07			5.85304e+06
25		1.49012e+08			3.9357e+07

pfile04-014.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		17			17
15		19			19
16		727			511
17		863			511
18		25023			6743
19		32335			9859
20		857487			168775
21		1.2011e+06			1.50898e+06
22		2.93992e+07			2.76519e+07
23		4.43656e+07			1.83413e+07

pfile02-008.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		11			11
15		13			13
16		307			235
17		395			235
18		6921			3121
19		9973			3121
20		155157			214539
21		247955			34867
22		3.48326e+06			311923
23		6.10424e+06			2.58017e+06
24		7.83038e+07			3.09678e+07
25		1.49012e+08			8.22589e+06

pfile02-007.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		11			11
15		13			13
16		307			161
17		395			235
18		6921			2899
19		9973			2899
20		155157			34867
21		247955			34867
22		3.48326e+06			418483
23		6.10424e+06			2.58017e+06
24		7.83038e+07			3.09678e+07
25		1.49012e+08			4.71161e+07

pfile05-020.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		19			19
15		21			21
16		907			425
17		1059			627
18		34825			9111
19		43965			12747
20		1.33168e+06			1.54795e+06
21		1.81181e+06			1.70955e+06
22		5.09419e+07			5.10315e+06

pfile04-015.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		17			17
15		19			19
16		727			511
17		863			511
18		25023			9367
19		32335			9367
20		857487			168775
21		1.2011e+06			168775
22		2.93992e+07			3.03812e+06
23		4.43656e+07			3.03812e+06

pfile01-003.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		9			9
15		11			11
16		207			167
17		279			167
18		3855			1883
19		5895			1883
20		71367			13323
21		122151			19043
22		1.32414e+06			144883
23		2.50036e+06			988011
24		2.46212e+07			1.59204e+06
25		5.06703e+07			1.53554e+07

pfile01-002.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		9			9
15		11			11
16		207			167
