	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1 probe.

blocks

probBLOCKS-15-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		1			1
8		7			7
9		62			62
10		393			317
11		3110			2846
12		19126			9980
13		144630			183951
14		929372			332089
15		6.54968e+06			6.97141e+06
16		4.65705e+07			----zero_info----
17		2.99296e+08			2.09843e+08

probBLOCKS-16-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
15		1			1
16		4			4
17		15			14
18		58			48
19		250			197
20		1202			711
21		6408			4356
22		37502			26917
23		238667			132919
24		1.63543e+06			1.94423e+06
25		1.19203e+07			1.02494e+07
26		9.11146e+07			8.12779e+07

probBLOCKS-5-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
7		3			3
8		7			7
9		18			16
10		43			37
11		149			198
12		348			209
13		1482			2159
14		3582			1251
15		16187			7942
16		42071			7709

probBLOCKS-9-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
10		4			4
11		14			15
12		52			66
13		212			356
14		944			2236
15		4366			7739
16		22337			15434
17		109283			52079
18		570611			205056
19		3.04172e+06			1.26661e+06
20		1.47372e+07			1.32795e+07
21		8.90116e+07			4.96223e+07
22		3.82704e+08			6.73362e+07

probBLOCKS-8-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		1			1
6		7			7
7		56			53
8		282			252
9		2012			1009
10		7713			8536
11		59229			103338
12		189873			183480
13		1.59743e+06			1.36471e+06
14		4.5786e+06			2.71029e+06
15		4.16095e+07			1.79404e+07
16		1.11177e+08			2.33352e+07

probBLOCKS-6-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
6		7			7
7		15			21
8		51			39
9		178			255
10		507			18
11		2383			3847
12		6488			7781

probBLOCKS-4-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
3		1			1
4		4			4
5		12			12
6		50			56

probBLOCKS-8-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
6		17			13
7		47			89
8		267			381
9		1209			1345
10		4770			8941
11		29180			52413
12		94565			9477
13		703899			20773
14		2.0286e+06			115285
15		1.71776e+07			221861
16		4.60757e+07			1.96984e+08
17		4.24936e+08			7.11528e+08
18		1.09013e+09			1.93616e+09

probBLOCKS-4-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		1			1
6		3			3
7		7			7
8		17			18
9		41			45
10		124			164

probBLOCKS-13-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
11		5			5
12		26			26
13		130			118
14		696			642
15		3935			3923
16		22940			24483
17		140606			173543
18		883583			1.14664e+06
19		5.41788e+06			8.7409e+06
20		3.72406e+07			3.09514e+07
21		2.17259e+08			1.43261e+08

probBLOCKS-11-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
9		5			5
10		27			26
11		137			158
12		688			582
13		3697			4707
14		20253			9871
15		105994			59211
16		658056			176800
17		3.29165e+06			1.31707e+06
18		2.25382e+07			9.8475e+06
19		1.11755e+08			4.54711e+07

probBLOCKS-12-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
11		5			5
12		26			26
13		130			128
14		696			670
15		3935			2625
16		22949			10765
17		140792			51041
18		885578			193510
19		5.45654e+06			1.51192e+06
20		3.74505e+07			1.42494e+07
21		2.21621e+08			1.53924e+08

probBLOCKS-13-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
12		1			1
13		4			4
14		15			14
15		58			64
16		250			360
17		1201			1348
18		6364			16359
19		36448			26440
20		220924			239751
21		1.42258e+06			630369
22		9.33543e+06			1.25944e+06
23		6.27376e+07			4.46584e+07
