	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1 probe.

elevators-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
16		13			13
17		19			19
18		28			28
19		32			32
20		43			43
21		55			46
22		313			361
23		847			778
24		1194			4896
25		1594			2146
26		2337			1630
27		6960			519
28		28352			5363
29		66185			108476
30		129660			29539
31		193629			122342
32		307419			10490
33		756265			64032
34		3.3145e+06			31075

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
15		2			2
16		5			5
17		8			8
18		10			10
19		12			12
20		13			13
21		19			17
22		48			23
23		95			32
24		162			314
25		231			138
26		352			791
27		488			944
28		1204			3257
29		2393			3425
30		4532			5130
31		9400			6228
32		16325			7441
33		28455			28578
34		49595			44349
35		107135			34185
36		213294			19170
37		474677			92352
38		973874			26623
39		1.86169e+06			81256
40		4.13713e+06			212653
41		7.92244e+06			662149

p29.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		4			4
15		19			19
16		34			34
17		40			40
18		43			43
20		169			61
21		566			1132
22		1432			3160
23		2470			2746
24		3636			3430
25		5065			259318
26		11050			2095
27		36853			5308
28		128150			41518
29		431064			13846
30		955831			14821
31		1.61828e+06			14821
32		2.38876e+06			499651

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
14		28			28
15		37			37
16		64			64
17		73			73
18		127			127
19		136			136
20		1148			460
21		2921			898
22		4804			1264
23		7260			4240
24		11828			10435
25		14473			38137
26		88113			38329
27		276970			3751
28		603169			39904
29		1.01236e+06			105853
30		1.78454e+06			459285
31		2.56093e+06			541962

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		2			2
15		4			4
16		8			8
18		11			11
19		12			12
20		20			16
21		39			37
22		65			56
23		120			115
24		153			126
25		227			227
26		301			351
27		563			345
28		1127			1972
29		2169			919
30		4008			3163
31		5949			9397
32		8955			12538
33		13930			31328
34		30672			64222
35		70410			135628
36		143449			93433
37		262108			151322
38		411404			19667
39		686153			146568
40		1.3697e+06			238404
41		3.31483e+06			79049
42		7.92476e+06			1.10397e+07
43		1.55277e+07			1.27734e+06

p25.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		4			4
15		16			16
