	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1 probe.

elevators-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		75			75
15		149			149
16		371			371
18		408			408
19		1345			1162
20		17190			80839
21		78164			12409
22		91507			71948
23		146610			63786
24		167490			6887
25		543832			6961
26		4.77922e+06			4.74014e+07

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
14		13			13
15		34			34
16		40			40
17		43			43
19		57			76
20		288			88
21		1043			730
22		2388			565
23		3375			658
24		3922			694
25		4280			712
26		18386			175
27		79687			34282
28		244088			214060
29		518039			24649
30		837919			26566
31		1.04223e+06			28483
32		2.57002e+06			1.02374e+07
33		1.09466e+07			3556

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
14		28			28
15		37			37
16		64			64
17		73			73
18		127			127
19		136			136
20		1148			220
21		2921			2684
22		4804			472
23		7260			1246
24		11828			9490
25		14473			3580
26		88113			23162
27		276970			542
28		603169			538
29		1.01236e+06			568
30		1.78454e+06			16649
31		2.56093e+06			239290

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		7			7
15		19			19
16		25			25
17		31			31
19		40			49
20		220			113
21		643			136
22		1338			223
23		1823			373
24		2114			637
25		2399			5617
26		19517			8761
27		80119			64429
28		160934			1837
29		286874			223705
30		352495			602959
31		684574			47267
32		2.48411e+06			3797
33		1.08448e+07			672843

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		19			19
15		55			55
16		82			82
17		100			100
19		685			880
20		3187			694
21		8632			2053
22		13276			3319
23		16225			3149
24		17812			6443
25		97543			42865
26		1.03437e+06			4.3031e+06
27		3.31267e+06			362892
28		5.61709e+06			242427

p13.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		23			23
15		89			89
16		155			155
17		199			199
18		221			221
20		4137			2201
21		16504			11011
22		35537			30945
23		57943			30951
24		66413			7353
25		131586			7353
26		769556			9.2371e+06
27		4.4234e+06			16858

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
14		148			148
15		491			491
16		687			687
17		736			736
18		785			785
19		4165			3333
20		27328			14305
21		107203			13206
22		278777			472172
23		475980			1.59943e+07
24		571604			6182
25		1.1772e+06			6182

p05.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
15		15			15
16		29			29
17		57			57
18		71			71
19		78			78
20		129			134
21		252			447
22		964			1657
23		1750			1031
24		3043			859
25		4237			4666
26		5702			1038
27		13008			37616
28		28768			8764
29		77289			7044
30		141166			11216
31		236474			66478
32		369747			49748
33		575296			217652
34		1.45312e+06			245673
35		3.47996e+06			62691
36		8.52502e+06			221413
