	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1 probe.

nomystery-opt11-strips

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		3			3
5		8			8
6		33			26
7		110			92
8		344			202
9		1035			444
10		2990			1038
11		8603			39724
12		24661			115684
13		71921			194596
14		215522			1339

p13.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		2			2
5		9			10
6		37			51
7		135			238
8		475			1095
9		1654			4392
10		5691			31209
11		19689			144923
12		68405			400047
13		241046			1.09394e+06
14		860811			1136
15		3.13474e+06			1286

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
3		1			1
4		4			4
5		14			13
6		46			46
7		132			190
8		410			502
9		1162			1150
10		3400			4066
11		9656			20896

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		2			2
5		10			10
6		46			57
7		187			322
8		743			1765
9		2858			9815
10		10890			31494
11		40967			12714
12		154195			35469
13		581047			81088
14		2.20799e+06			172435
15		8.47814e+06			172073

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
3		1			1
4		4			4
5		10			10
6		30			34
7		80			94
8		191			172
9		462			298
10		1082			1399
11		2657			2473
12		6430			5695

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		3			3
5		8			8
6		35			37
7		122			116
8		483			605
9		1758			1866
10		6375			9081
11		22348			35166
12		77589			30576
13		267617			78056
14		928947			188746
