	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1 probe.

transport-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
237		2			2
250		5			5
258		7			7
260		9			9
263		13			15
265		15			17
271		20			21
273		25			25
275		28			24
276		33			18
278		40			20
283		42			22
284		51			24
285		52			79
286		70			34
287		73			42
288		74			43
289		88			61
290		89			42
291		106			245
292		109			246
293		110			247
294		113			248
295		114			249
296		127			118
297		142			129
298		151			89
299		172			81
300		185			228
301		197			230
302		219			232
303		235			209
304		277			143
305		297			151
306		312			161
307		355			365
308		371			397
309		424			399
310		475			431
311		506			309
312		604			189
313		663			488
314		743			496
315		831			586
316		899			595
317		1057			892
318		1171			401
319		1289			422
320		1445			1163
321		1602			550
322		1829			603
323		2060			777
324		2327			706
325		2696			830
326		3045			924
327		3421			1443
328		3906			668
329		4473			725
330		5211			1136
331		5982			2582
332		6935			1492
333		8121			1419
334		9472			1204
335		11291			692
336		13558			4634
337		16525			53152
338		21056			5541
339		27913			2615
340		39550			2860
341		60936			97574
342		101221			973
343		181953			1494
344		342354			31093
345		672613			721848
346		1.34226e+06			497231

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
267		2			2
272		4			4
279		7			7
281		10			10
283		16			16
284		21			18
286		26			20
287		28			22
288		41			37
290		44			42
291		48			42
293		57			92
294		61			47
295		91			202
296		118			73
297		128			90
298		150			109
299		182			489
300		243			408
301		286			377
302		316			614
303		347			626
304		420			364
305		454			503
306		466			655
307		516			132
308		567			230
309		641			1164
310		817			527
311		979			345
312		1210			2564
313		1394			584
314		1611			1438
315		2050			15260
316		2530			815
317		2953			2094
318		3294			1219
319		3697			791
320		4208			999
321		4525			1555
322		4982			1160
323		5548			7179
324		6540			2187
325		7538			23427
326		8586			1930
327		10151			1209
328		12224			29413
329		14526			19703
330		17167			8864
331		20121			11911
332		24466			37399
333		28114			4837
334		32427			300422
335		36397			270990

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
282		3			3
284		5			5
285		10			10
286		19			19
287		21			21
292		25			24
294		31			30
295		33			30
296		41			36
297		44			52
298		53			43
299		62			92
300		77			58
301		82			62
302		124			108
303		153			91
304		187			157
305		212			100
306		228			151
307		246			227
308		290			332
309		346			305
310		437			318
311		496			356
312		572			265
313		619			277
314		737			948
315		850			569
316		977			2204
317		1087			697
318		1348			595
319		1585			509
320		1945			964
321		2247			1380
322		2542			2653
323		2913			906
324		3370			1619
325		3845			2434
326		4581			1127
327		5294			23178
328		6039			2310
329		6691			2392
330		7803			11005
331		9083			18858
332		10693			3363
333		12468			7031
334		14350			4787
335		16275			20417
336		19138			6947
337		22478			7830
338		26540			17793
339		30663			46489
340		34949			18017
341		40168			12684
342		46774			25986

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
297		4			4
300		9			9
303		11			11
305		13			13
306		17			17
314		19			17
315		21			21
320		24			24
321		26			26
322		42			36
323		44			46
325		75			87
326		80			104
327		82			67
328		104			155
329		110			84
330		121			165
331		151			231
332		155			231
333		163			112
334		175			223
335		179			304
336		185			166
337		188			202
338		195			166
339		221			175
340		238			324
341		242			324
342		257			238
343		262			238
344		269			240
345		309			267
346		368			284
347		458			721
348		558			752
349		776			596
350		1182			1363
351		1829			2577
352		3174			3665
353		6018			2081
354		11954			808
355		24281			37066
356		50372			35446
357		104380			148600
358		218606			99277
359		455363			302510
360		953753			92439
361		1.98389e+06			786334

p25.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
255		2			2
277		5			5
278		9			9
279		14			14
280		22			25
281		36			69
282		51			20
283		69			36
284		90			151
285		113			121
286		140			148
287		169			94
288		202			116
289		237			346
290		276			250
291		319			240
292		366			546
293		416			371
294		471			686
295		534			762
296		603			467
297		683			926
298		770			554
299		875			1154
300		989			1088
301		1129			208
302		1288			53
303		1498			1836
304		1761			641
305		2137			279
306		2701			1650
307		3675			596
308		5440			3413
309		8913			16350
310		15940			44002
311		30602			32375
312		61434			52908
313		126765			652

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
266		3			3
297		7			7
305		9			9
312		13			13
313		17			17
320		19			19
321		21			21
322		23			23
323		25			25
324		27			27
325		29			29
326		35			35
327		37			37
328		45			41
329		47			43
330		55			55
331		61			61
332		63			63
333		65			65
334		67			67
335		69			69
336		81			77
337		83			79
338		85			73
339		87			75
340		95			89
341		105			95
342		107			105
343		113			107
344		133			141
345		143			147
346		149			157
347		159			159
348		161			177
349		163			179
350		165			181
351		177			251
352		181			137
353		185			139
354		189			141
355		193			139
356		197			141
357		209			147
358		223			219
359		269			389
360		297			259
361		331			489
362		359			693
363		379			335
364		411			447
365		447			417
366		475			425
367		521			179
368		561			193
369		605			207
370		667			221
371		745			547
372		813			569
373		881			607
374		991			629
375		1121			963
376		1263			1069
377		1347			535
378		1465			1113
379		1561			1135
380		1675			481
381		1781			1179
382		1929			1747
383		2067			729
384		2215			981
385		2401			857
386		2645			1011
387		2895			1167
388		3253			1821
389		3587			3217
390		4087			3027
391		4655			535
392		5175			603
393		5925			3383
394		6617			3113
395		7477			867
396		8385			937
397		9397			1007
398		10559			4371
399		11855			5225
400		13355			7897
401		15063			2373
402		16983			1545
403		19323			4091
404		21929			4691
405		25275			2043
406		28837			12231
407		32895			5953
408		37581			6241
409		42853			6529
410		49153			12243
411		56109			10495
412		64001			6959
413		72943			15305
414		83193			5785
415		94921			6349
416		108173			7031
417		123297			10307
418		140187			10019
419		159615			4849
420		181871			5695
421		206771			7229
422		235531			12343
423		267111			38427
424		303369			40947
425		344435			6207
426		390545			6349
427		443363			6491
428		502663			6633
429		570481			6775
430		647073			25117
431		734215			36797
432		833527			75071
433		946065			149591
434		1.07531e+06			331645
435		1.22177e+06			8691
436		1.38882e+06			37225
437		1.57977e+06			6673
438		1.79586e+06			13741
439		2.04477e+06			12481
440		2.32646e+06			13787

p13.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
235		1			1
249		2			2
259		3			3
265		4			4
273		8			9
274		10			11
275		13			14
276		17			15
277		23			19
278		27			29
279		34			33
280		39			31
281		45			42
282		52			45
283		63			54
284		70			62
285		78			67
286		86			95
287		95			108
288		104			122
289		114			137
290		129			140
291		144			248
292		155			268
293		167			289
294		179			272
295		194			295
296		209			283
297		239			37
298		266			41
299		308			113
300		357			161
301		432			199
