	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1 probe.

visitall-opt11-strips

problem09-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
9		2			2
10		9			9
11		23			25
12		93			89
13		270			285
14		1081			1021
15		3385			3509
16		13541			13497
17		44466			45373
18		177861			149945
19		602756			549993
20		2.41084e+06			1.6457e+06
21		8.34688e+06			5.72846e+06
22		3.33832e+07			2.58608e+07
23		1.17281e+08			8.95286e+07
24		4.69052e+08			4.525e+08

problem05-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
6		9			9
8		93			77
10		1065			985
12		12645			13089
14		151593			127433
15		151833			168413
16		1.82529e+06			2.26297e+06
17		1.83424e+06			2.26297e+06
18		2.20412e+07			3.0147e+07
19		2.22525e+07			1.27996e+07
20		2.66717e+08			1.74595e+08
21		2.70793e+08			1.74595e+08
22		3.2326e+09			1.71594e+09

problem08-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		1			1
8		2			2
9		9			9
10		23			25
11		93			89
12		270			321
13		1081			1285
14		3385			3605
15		13531			13221
16		44420			61861
17		177059			207221
18		599953			623589
19		2.3804e+06			1.96592e+06
20		8.24962e+06			4.86766e+06
21		3.25447e+07			2.19611e+07
22		1.1469e+08			8.95146e+07
23		4.49715e+08			3.34736e+08
24		1.60523e+09			1.29525e+09

problem06-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
7		3			3
8		11			11
9		35			35
10		123			119
11		417			399
12		1487			1503
13		5213			4883
14		18735			18963
15		66835			67743
16		240743			233311
17		866757			857075
18		3.12336e+06			3.11592e+06
19		1.13034e+07			1.06619e+07
20		4.07291e+07			3.74884e+07
21		1.47856e+08			1.46683e+08
22		5.32705e+08			5.21933e+08
23		1.93765e+09			1.814e+09

problem11-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
11		2			2
12		11			13
13		23			25
14		123			127
15		270			313
16		1495			1557
17		3385			2177
18		19261			18733
19		44471			44625
20		257915			426501
21		603373			497589
22		3.54789e+06			3.55513e+06
23		8.37817e+06			1.05011e+07
24		4.97747e+07			6.35081e+07
25		1.18356e+08			1.01389e+08
26		7.08702e+08			4.54732e+08

problem04-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
5		3			3
6		11			11
7		35			35
8		117			117
9		391			379
10		1269			1233
11		4367			3991

problem04-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
5		3			3
6		11			11
7		35			35
8		117			117
9		391			379
10		1269			1233
11		4319			3991
12		13961			12925
13		47873			41827
14		154971			135369
15		532209			438063

problem02-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
2		1			1
3		7			7

problem09-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
10		9			9
12		93			101
14		1081			697
16		13541			10221
18		177861			117461
20		2.41084e+06			2.72284e+06
22		3.33832e+07			3.72593e+07
24		4.69043e+08			5.68112e+08

problem07-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
8		9			9
10		93			101
12		1081			1285
14		13521			15333
16		176257			138389
18		2.34997e+06			1.33194e+06
20		3.17068e+07			2.94595e+07
21		3.17089e+07			2.94595e+07
22		4.30502e+08			2.25437e+08
23		4.30614e+08			2.25437e+08

problem10-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
11		9			9
12		13			13
13		93			101
14		153			157
15		1081			1285
16		1909			1933
17		13541			12501
18		24981			25109
19		177873			179605
20		337853			360325
21		2.41216e+06			2.66248e+06
22		4.67589e+06			4.24412e+06
23		3.34478e+07			2.61228e+07
24		6.5788e+07			6.5622e+07
25		4.71231e+08			5.22195e+08

problem08-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
9		3			3
10		11			11
11		35			35
12		123			127
13		417			411
14		1495			1611
15		5275			5431
16		19251			20455
17		69589			74923
18		256989			277119
19		942917			882031
20		3.50803e+06			3.78848e+06
21		1.29926e+07			1.16104e+07
22		4.85526e+07			4.4159e+07
23		1.80902e+08			1.6967e+08
24		6.77759e+08			6.2256e+08

problem02-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
1		2			2

problem05-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
6		11			13
8		123			117
10		1449			1397
12		17385			16901
13		17465			16901
14		210173			217221
15		213023			217221
16		2.55372e+06			1.70087e+06
17		2.62001e+06			1.70087e+06
18		3.11459e+07			2.28786e+07

problem11-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
12		9			9
14		93			101
16		1081			949
18		13541			10773
20		177885			163253
22		2.41349e+06			1.64759e+06
24		3.35124e+07			2.85608e+07
26		4.73419e+08			3.41269e+08

problem03-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
2		1			1
4		9			9
5		11			9
6		89			113

problem10-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
11		3			3
12		11			11
13		35			35
14		123			127
15		417			435
16		1495			1487
17		5275			5099
18		19261			20319
19		69681			74335
20		257903			273675
21		948715			951227
22		3.54654e+06			3.93516e+06
23		1.31995e+07			1.5187e+07
24		4.97074e+07			5.90319e+07
25		1.86562e+08			1.69733e+08
26		7.06366e+08			8.44154e+08

problem07-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
8		9			9
10		93			101
12		1081			1285
14		13521			17493
16		176257			159605
18		2.34997e+06			3.57599e+06
20		3.17061e+07			3.7333e+07
21		3.17089e+07			3.7333e+07
22		4.30466e+08			5.3578e+08
23		4.30608e+08			5.3578e+08

problem03-full.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
2		1			1
4		9			9
6		81			81
8		705			657

problem06-half.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
5		1			1
7		9			9
8		11			13
9		93			85
10		123			149
11		1073			777
12		1487			1161
13		13083			8265
14		18735			16941
15		163925			224813
16		240743			224813
17		2.08487e+06			3.10859e+06
18		3.1242e+06			4.40552e+06
19		2.67608e+07			2.75927e+07
20		4.07743e+07			5.8426e+07
21		3.45593e+08			5.16925e+08
22		5.34146e+08			4.19554e+08
