	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1 probe.

woodworking-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
45		1			1
60		2			2
65		3			3
70		6			6
75		21			21
80		51			57
85		164			98
90		544			86
95		1840			809
100		6534			89
105		25210			251
110		87304			1025
115		292929			5687
120		1.05684e+06			45683
125		3.71145e+06			14379
130		1.23204e+07			17887
135		4.22435e+07			24585
140		1.46621e+08			172759

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
60		1			1
80		3			3
90		36			37
95		52			103
100		241			243
105		542			287
110		3627			651
115		13592			167
120		94476			1165
125		471028			1653
130		2.99274e+06			2893

p29.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
105		1			1
110		4			4
115		10			10
125		95			79
130		122			142
135		1931			613
140		3117			1366
145		42142			131695
150		93440			721
155		937140			4072
160		2.91348e+06			3221

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
75		1			1
90		2			2
100		4			4
105		30			28
110		40			32
115		158			146
120		289			394
125		1066			1002
130		2833			2406
135		15718			1475
140		56151			3245
145		336669			11943
150		1.47149e+06			9307
155		8.52781e+06			678511

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
75		1			1
80		2			2
85		5			5
90		10			12
95		51			41
100		106			198
105		799			814
110		2140			1336
115		17107			574
120		60635			799
125		414691			2372
130		1.74888e+06			8201
135		1.03788e+07			24585
140		4.76053e+07			37323

p25.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
105		1			1
110		2			2
115		4			4
125		34			34
130		45			41
135		737			644
140		1335			1339
145		17311			234
150		45493			596
155		428681			4837
160		1.57649e+06			3836
165		1.07909e+07			13160

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
60		1			1
70		3			3
80		13			9
90		67			27
95		76			45
100		134			35
105		425			83
110		916			407
115		1085			231
120		2604			327
125		5886			1841
130		9824			5705
135		21254			3041
140		38992			3763
145		71511			3763
150		149981			6725
155		317716			14685
160		528952			14145
165		1.10564e+06			36659
170		2.30967e+06			53195
175		4.23023e+06			119243
180		8.30342e+06			236161
185		1.74681e+07			523065
190		3.28075e+07			890241
195		6.35551e+07			1.72686e+07
200		1.33861e+08			2.7787e+06

p13.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
60		1			1
70		3			3
75		4			4
80		23			23
85		43			83
90		295			171
95		805			225
100		3889			24499
105		13759			123
110		52031			636
115		190075			1102
120		650433			19694
125		2.11288e+06			63848
130		7.1169e+06			13345
135		2.12007e+07			33714
140		6.56617e+07			84993

p30.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
105		1			1
115		6			6
125		53			37
135		869			88
140		967			463
145		17161			566
150		25948			566
155		416598			4673
160		903811			4673
165		1.0795e+07			1.01769e+09

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
60		1			1
70		6			6
75		15			19
80		59			70
85		181			79
90		762			2649
95		2575			230
100		10238			215
105		39216			390
110		153304			2394
115		608349			772
120		2.49015e+06			15081
125		1.01467e+07			20265

p05.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
50		1			1
80		16			16
85		18			16
90		65			16
95		90			91
100		269			166
105		412			316
110		1803			3016
115		3432			3316
