	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1 probe.

barman-opt11-strips

pfile01-004.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		11			7
21		39			17
22		393			405
23		1535			605
24		11535			5375
25		46079			26583
26		313741			133433
27		1.24e+06			872345
28		8.05636e+06			6.48233e+06
29		3.12866e+07			4.4688e+06
30		1.98289e+08			5.13091e+07
31		7.56641e+08			1.19888e+08
32		4.72728e+09			3.09983e+09
33		1.77578e+10			7.91007e+09

pfile02-005.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
21		9			9
22		15			11
23		315			675
24		665			409
25		8917			44867
26		23849			42029
27		246839			101151
28		781103			361131
29		6.70237e+06			2.93998e+06
30		2.39819e+07			9.35944e+06
31		1.79038e+08			4.57218e+07
32		7.03811e+08			9.36612e+07
33		4.72021e+09			7.58053e+08

pfile01-003.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		11			7
21		39			65
22		393			191
23		1535			3129
24		11553			12419
25		46085			51017
26		314473			102795
27		1.24037e+06			394975
28		8.07732e+06			2.77664e+06
29		3.1301e+07			3.42026e+06
30		1.98813e+08			6.73535e+07
31		7.57102e+08			3.25265e+08
32		4.73944e+09			6.13075e+08
33		1.77709e+10			2.59675e+10

pfile01-002.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		11			7
21		39			25
22		393			365
23		1535			3805
24		11535			43545
25		46079			101327
26		313741			127861
27		1.24e+06			296173
28		8.05636e+06			7.90261e+06
29		3.12866e+07			2.10399e+07
30		1.98289e+08			2.11128e+08
31		7.56641e+08			7.00697e+08
32		4.72728e+09			1.32938e+10
33		1.77578e+10			4.0926e+10

pfile01-001.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
19		7			7
20		9			9
21		165			103
22		233			161
23		3077			1691
24		4889			7615
25		56981			76345
26		100793			12393
27		1.05778e+06			176157
28		2.05559e+06			181557
29		1.968e+07			7.82833e+06
30		4.15379e+07			3.56846e+07
31		3.66864e+08			4.39317e+09
32		8.32958e+08			6.92676e+08
33		6.85133e+09			2.05506e+09
