	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1 probe.

blocks

probBLOCKS-15-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
26		38			31
28		2993			1436
30		181180			32436
32		9.92211e+06			2.54809e+06
33		9.92522e+06			1.64267e+06
34		5.20199e+08			6.9984e+08
35		5.20998e+08			3.49261e+08

probBLOCKS-16-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
26		3			3
28		21			21
29		23			21
30		175			315
31		194			165
32		1943			489
33		2140			993
34		29110			2061
35		32004			2811
36		565198			6561
37		626809			407649
38		1.34376e+07			52365
39		1.51338e+07			72165
40		3.69302e+08			1.42416e+08
41		4.2336e+08			1.12981e+08
42		1.11719e+10			1.73193e+09

probBLOCKS-5-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		2			2
10		7			8
12		29			32
14		170			188
15		177			30
16		1497			62

probBLOCKS-9-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
16		3			3
18		16			21
19		18			27
20		98			267
21		118			129
22		793			75
23		987			179
24		9115			1043
25		11097			3975
26		193819			306273

probBLOCKS-8-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		82			25
15		84			6
16		4261			106

probBLOCKS-6-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		6			6
11		7			7
12		70			39

probBLOCKS-4-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		10			13

probBLOCKS-8-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
12		5			3
13		7			10
14		113			88
15		150			102
16		2316			1033
17		3051			2553
18		47413			27993

probBLOCKS-4-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		1			1
5		2			2
6		4			4
7		6			6
8		12			10
9		17			14
10		48			52

probBLOCKS-13-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
24		4			4
26		55			31
28		927			1264
30		26066			16624
31		26142			17908
32		981982			135031
33		995413			135031
34		4.01068e+07			759220
35		4.14996e+07			14017
36		1.69652e+09			7.27581e+07
37		1.8084e+09			7.27581e+07

probBLOCKS-11-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		23			2122
21		28			406
22		1315			17359
23		1618			27121
24		69606			364636
25		86557			70474
26		3.51914e+06			184192
27		4.40907e+06			928300
28		1.72089e+08			7.88914e+06
29		2.15908e+08			5.34615e+06
30		8.24758e+09			1.27737e+07

probBLOCKS-12-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
32		6			25864
34		378			1.15876e+07
35		383			1.62377e+07
36		23938			7.61785e+08
37		24643			3.86641e+06
38		1.47186e+06			2.65412e+07
39		1.54168e+06			1.75642e+09
40		9.86696e+07			6.8528e+11
41		1.04724e+08			7.10602e+11
42		8.44534e+09			7.7106e+10

probBLOCKS-13-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
24		2			2
25		3			3
26		18			15
27		23			21
28		146			81
29		179			129
30		1400			777
31		1675			561
32		18011			2061
33		21211			7617
34		330699			61077
35		389140			1161
36		8.21884e+06			3561
37		9.74226e+06			167961
38		2.6014e+08			1.51162e+06
39		3.08652e+08			2.14587e+06
40		1.0654e+10			1.14771e+07

probBLOCKS-5-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		3			3
7		4			4
8		16			10
9		20			22
10		79			124
11		98			66
12		464			312

probBLOCKS-7-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		3			3
12		29			15
14		256			129
16		2260			2349
17		2269			2367
18		20469			2505
19		20730			4665
20		201387			29349

probBLOCKS-17-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
32		6			6
34		378			186
35		383			186
36		23938			2631
37		24643			81186
38		1.47186e+06			167586
39		1.54168e+06			167586
40		9.86696e+07			3.87616e+07
