	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1 probe.

elevators-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
26		1			1
31		7			7
33		67			59
35		79			95
36		118			151
37		181			61
38		3565			1015
39		3586			976
40		397153			639
41		397813			716
42		412783			2272
43		833229			2.89429e+07
44		5.7959e+06			9.9823e+06
45		2.76111e+07			1.34166e+07
46		2.81213e+07			9.41117e+06

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
39		2			2
44		63			61
46		102			96
48		104			98
49		1472			1362
51		11156			16701
53		14960			46355
54		34646			55272
55		37738			35056
56		998485			1.94637e+06
57		1.00442e+06			222329
58		2.45762e+06			1.64501e+06
59		2.74641e+06			324181
60		4.12841e+06			1.97538e+06
61		5.58893e+07			3.78574e+06
62		6.28887e+07			1.32412e+07

p29.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
42		112			85
45		148			163
47		1483			1071
48		10639			18403
49		73721			66201
50		83001			92083
51		116831			54005
52		871250			15521
53		1.00294e+06			309734
54		1.05817e+07			3.00864e+06

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
29		1			1
34		10			10
35		96			140
36		123			55
37		200			208
38		266			130
39		293			253
40		1708			2311
41		23348			3541
42		43857			96124
43		86903			9952
44		453795			28484
45		504536			14137
46		3.45045e+06			50649
47		1.16266e+07			154103

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
30		1			1
35		3			3
36		4			4
37		8			7
38		9			8
39		13			12
40		24			13
41		33			14
42		84			66
43		102			96
44		235			208
45		284			703
46		596			956
47		1102			1186
48		1702			1111
49		5989			3108
50		7208			5483
51		23504			2201
52		29761			27711
53		57090			257744
54		124633			52848
55		173530			59507
56		1.09893e+06			129432
57		1.25826e+06			106316
58		4.80197e+06			563611
59		6.12116e+06			178816
60		1.12915e+07			1.95728e+06
61		9.79147e+07			1.62281e+07

p25.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
39		22			22
44		2286			2354
45		2873			1184
46		79936			51561
48		84512			6850
49		220113			1.08619e+06
50		346024			111584

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
27		2			2
29		3			3
32		13			13
33		17			19
34		30			35
35		37			30
36		41			49
37		155			59
38		199			97
39		600			254
40		851			248
41		1274			742
42		3533			39117
43		5046			978
44		19077			1998
45		27301			19458
46		89272			4632
47		183196			156517
48		759179			6153
49		2.6807e+06			152576
50		3.48761e+06			36212
51		8.18974e+06			340059
52		1.41758e+07			340723
53		5.78546e+07			707507
54		2.09614e+08			438372

p13.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
32		1477			1484
37		277242			54866
38		937148			186242
39		9.40345e+06			6.79134e+07
40		9.45179e+06			7.12414e+06
41		1.0125e+07			2.11174e+06
42		2.29643e+07			3.09668e+07
43		8.69942e+07			1.33678e+07

p30.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
38		40458			37650

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
29		1			1
34		779			632
35		1253			1524
36		1297			2493
37		1341			667
38		2345			4911
39		86861			32209
40		176036			76609
41		1.50599e+06			4.64088e+06

p05.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
28		1			1
32		38			38
33		536			536
34		75697			64990
35		75722			76296
37		78960			60509
38		220922			127221
39		4.5577e+06			1.49578e+06
40		1.89151e+07			1.62555e+07

p22.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
12		64			64
18		7660			5360
19		22734			6906
20		31579			15063
21		39070			36742
22		41730			322242
23		42374			8135
24		751704			2.20311e+06
25		3.94458e+06			356715
26		9.27924e+06			24841
27		1.47034e+07			28670
28		1.80949e+07			8.04625e+06
29		2.0518e+07			83789
30		9.21097e+07			2.01731e+06

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
30		1			1
35		11			11
36		56			56
37		600			746
38		5037			3718
39		5057			3721
40		5086			3882
41		6963			3218
42		33975			2816

p10.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
27		53			53

p04.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
21		1626			1626
26		716259			405219
28		3.78832e+06			1.79209e+06
30		4.92764e+06			1.3313e+06

p26.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
27		49			49
32		1.77144e+06			1.8015e+06
34		9.63724e+06			9.5674e+06
35		9.76636e+06			9.5674e+06

p06.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
25		1			1
30		10			10
31		424			316
32		478			402
34		56515			108331
36		136147			178315
37		1.93261e+07			2.64214e+07
38		3.77785e+07			558507

p17.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
35		1			1
40		305			545
41		343			343
43		802			610
45		10722			4496
46		90040			17294
47		170559			193023
48		260880			29925
49		370866			15573
50		1.64444e+06			851680

p20.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
25		1			1
30		4			4
32		38			40
33		59			19
34		78			42
35		84			48
36		127			67
37		2076			1883
38		2640			6340
39		132187			2798
40		229919			1993
41		375778			1897
42		505467			7023
43		876470			1.31655e+06
44		6.73479e+06			1.6058e+06
45		1.40267e+07			55204

p28.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
22		1			1
27		508			700
28		1775			1531
29		6246			6060
30		17581			6709
31		18494			4678
32		40099			19712
33		4.55823e+06			1.64359e+06
34		9.46695e+06			1.39933e+06
35		2.0016e+07			2.26416e+06

p23.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
43		4			4
47		32			32
48		1042			823
50		46995			7568
51		49025			63871
52		1.35551e+06			707281
53		3.69454e+07			460837
54		3.69487e+07			2.537e+07
55		3.94449e+07			397932
56		3.97297e+07			1.08254e+06

p21.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
30		247			209
32		22576			21195
36		32063			23141
37		708724			41584
38		4.04953e+06			249901
39		1.71392e+08			3.80022e+08
40		1.73363e+08			4.57237e+07

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
29		1			1
31		5			5
34		27			27
35		53			53
36		84			88
37		168			211
38		259			205
39		304			694
40		645			358
41		1971			846
42		6578			3963
43		10472			11913
44		17881			19741
45		33504			14566
46		59676			9346
47		195526			95600
48		330334			69593
49		1.03647e+06			139778
50		8.25941e+06			438318
51		9.45861e+06			1.45519e+07
52		3.85191e+07			7.91701e+06
53		9.60582e+07			9.80908e+06
54		1.44418e+08			934071

p24.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
19		298			298
24		3124			3172
25		76375			87837
26		411712			49570
27		488995			57793
28		767984			67982
29		790448			103292
30		1.53967e+06			158918
31		4.24962e+07			1.08896e+06

p09.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
28		1			1
33		10			10
35		38			33
37		134			186
38		170			200
39		173			198
40		2116			2961
41		2497			696
42		12143			14099
43		21661			10307
44		59473			73280
45		153912			33825
46		209768			84611
47		3.50073e+06			1.46168e+06
48		6.03508e+06			465950
49		2.17797e+07			6.62789e+06
50		3.65862e+07			1.47971e+07

p08.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
12		35			35
13		257			257
17		3426			3282
18		6357			5713
19		17367			8313
20		80185			30286
21		80811			6034
22		1.82683e+06			402238
23		2.71953e+06			546724
24		7.61989e+06			492731
25		1.24578e+07			1.32643e+06
26		2.08719e+07			3.12488e+06

p16.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
28		1			1
33		10			10
34		13			13
35		31			27
36		36			30
37		57			59
38		96			122
39		150			107
40		526			431
41		979			466
42		3450			15839
43		4864			56942
44		7726			6881
45		16544			4897
46		26399			2673
47		272892			60268
48		449988			113210
49		1.27532e+06			563060
50		1.79305e+06			11816
51		2.69853e+06			49471
52		1.25219e+07			23853
53		2.28071e+07			69882

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
39		2			2
41		3			3
44		659			519
45		660			264
46		671			728
47		691			819
48		697			539
49		39305			131711
50		53547			41260
51		89556			29895
52		105799			14208
53		147355			126593
54		1.16584e+06			8.93499e+06
55		2.20403e+06			91317
56		7.35599e+06			456087

p27.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
41		1			1
43		2			2
45		3			3
46		7			6
47		8			7
48		61			137
49		62			138
50		125			254
51		137			60
52		311			575
53		4632			2167
54		8340			7449
55		26117			1231
56		26462			50334
57		118919			39992
58		136070			10195
59		1.76706e+06			5792
60		2.37699e+07			7.02487e+06
61		2.47144e+07			2.21491e+08

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		13			13
12		522			192
13		2948			2015
14		3313			1894
15		4207			2761
18		41998			30770
19		161204			261003
20		627376			101214
21		754784			151059
22		1.04252e+06			68311
23		1.0846e+06			74801
24		2.70247e+06			2.50639e+06
25		1.85463e+07			387430
26		4.93181e+07			1.97588e+07
