	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1 probe.

elevators-opt11-strips

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
39		2			2
41		3			3
44		659			753
45		660			1196
46		671			1226
47		691			551
48		697			1009
49		39305			13410
50		53547			123121
51		89556			9586
52		105799			16571
53		147355			120155
54		1.16584e+06			294056
55		2.20403e+06			170678
56		7.35599e+06			925529

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
27		2			2
29		3			3
32		13			13
33		17			15
34		30			25
35		37			36
36		41			49
37		155			51
38		199			63
39		600			394
40		851			428
41		1274			2069
42		3533			1998
43		5046			1559
44		19077			90559
45		27301			5862
46		89272			15636
47		183196			24207
48		759179			1.00335e+06
49		2.6807e+06			39089
50		3.48761e+06			36904
51		8.18974e+06			83288
52		1.41758e+07			1.74066e+06
53		5.78546e+07			98949
54		2.09614e+08			47476
