	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1 probe.

floortile-opt11-strips

opt-p02-003.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		1			1
21		2			2
22		4			4
23		9			7
24		24			14
25		58			20
26		172			39
27		481			422
28		1719			61
29		5152			626
30		20038			19847
31		61347			17532
32		248979			1019
33		769300			1226
34		3.20198e+06			41684
35		9.94192e+06			75128
36		4.21998e+07			140526
37		1.31426e+08			4.58257e+07
38		5.67065e+08			449126
39		1.7693e+09			394067
40		7.74178e+09			8.03741e+08

opt-p01-001.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
20		32			31
21		256			309
22		2128			1854
23		9012			12933
24		59582			5747
25		202745			30490
26		1.20934e+06			2.62164e+06
27		3.72027e+06			664764
28		2.10944e+07			3.6418e+06
29		6.15286e+07			5.61358e+06
30		3.38538e+08			1.29673e+09
31		9.57198e+08			4.44673e+07
32		5.16522e+09			3.75252e+07
33		1.43314e+10			1.46402e+09

opt-p01-002.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
23		1003			1864
24		15513			8863
25		181935			132888
26		823372			424927
27		8.5931e+06			617571
28		2.97322e+07			684730
29		2.65183e+08			1.06931e+09
30		8.16401e+08			1.39352e+08
31		6.48904e+09			2.97887e+07
32		1.88254e+10			8.53321e+07

opt-p02-004.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
23		42			66
24		352			239
25		4067			11157
26		19602			8249
27		188187			1644
28		700154			168085
29		5.89709e+06			193204
30		1.92516e+07			1.25434e+06
31		1.47404e+08			188288
32		4.48767e+08			929420
33		3.19207e+09			4.47362e+10
34		9.36604e+09			1.08851e+10

opt-p03-005.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
31		2007			725
32		29205			23702
33		469701			759393
34		2.52687e+06			521137
35		3.71615e+07			1.5077e+07
36		1.69714e+08			7.39718e+07
37		2.03137e+09			9.65519e+07
38		9.33236e+09			9.65079e+08
