	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1 probe.

parking-opt11-strips

pfile05-018.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		2			2
15		44			24
16		999			1292
17		21077			14538
18		416444			135917
19		7.95364e+06			4.6558e+06
20		1.47668e+08			1.1002e+08

pfile03-011.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
9		9			8
10		88			74
11		824			698
12		7675			12063
13		73959			33193
14		705194			715403

pfile03-012.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
12		1			1
13		10			13
14		181			79
15		2790			943
16		40452			24703
17		559487			535759
18		7.42186e+06			657151
19		9.59479e+07			9.25428e+07
20		1.21158e+09			3.21627e+08

pfile04-015.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
13		2			2
14		30			21
15		554			444
16		9398			6340
17		155074			114650
18		2.46534e+06			1.8088e+06
19		3.85537e+07			3.42691e+07

pfile04-013.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		1			1
15		18			15
16		323			211
17		5183			2955
18		83069			41371
19		1.2925e+06			1.04019e+06
20		1.98186e+07			1.42937e+07
