	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1 probe.

tidybot-opt11-strips

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		5			5
8		27			27
9		95			95
10		317			349
11		1084			1540
12		3543			5864
13		12073			11459
14		40910			46079
15		145044			118043
16		502302			866095
17		1.88258e+06			2.35175e+06

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		65			65

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		5			5
8		27			27
9		95			95
10		317			349
11		1084			1151
12		3543			3959
13		12173			11677
14		42555			25867
15		154176			69535
16		591627			652723
