	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1 probe.

woodworking-opt11-strips

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
165		3			3
170		5			5
175		473593			334646
180		1.59286e+06			1.10728e+06
185		3.51675e+06			1.67745e+07
190		1.68693e+07			3.4135e+06
195		9.99192e+07			2.12133e+08

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
185		2			2
195		19			16
200		21			22
205		320			169
210		490			1641
215		6.23222e+08			4.03337e+08

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
195		1			1
205		2849			1448
210		6228			9962
215		9807			35
220		29094			18398
225		3.94547e+06			7.27078e+06
