	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 1 probe.

blocks

probBLOCKS-15-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
28		3			3
29		30			27
30		209			243
31		1515			1338
32		8909			28828
33		59001			83448
34		331331			86313
35		2.10821e+06			971971
36		1.1776e+07			1.7132e+07

probBLOCKS-16-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
28		1			1
29		3			3
30		9			9
31		21			21
32		70			45
33		168			243
34		644			819
35		1647			777
36		7137			2553
37		19859			5961
38		94203			17625
39		289017			447267
40		1.45784e+06			423309
41		4.96028e+06			130773
42		2.60543e+07			511749

probBLOCKS-5-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
10		2			2
11		4			4
12		7			6
13		15			10
14		28			14
15		77			22
16		204			56

probBLOCKS-9-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
17		1			1
18		3			3
19		8			7
20		22			21
21		54			81
22		184			189
23		469			405
24		1946			59
25		5217			163
26		26768			16833

probBLOCKS-8-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		10			3
15		39			7
16		421			526

probBLOCKS-6-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
11		2			2
12		19			7

probBLOCKS-4-2.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		8			11

probBLOCKS-8-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
13		2			2
14		5			5
15		29			36
16		109			85
17		466			571
18		2521			504

probBLOCKS-4-1.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
7		3			3
8		5			5
9		10			10
10		26			17

probBLOCKS-13-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
24		1			1
25		4			4
26		18			16
27		53			52
28		234			196
29		684			193
30		3204			1543
31		10023			1165
32		49941			17320
33		173198			52312
34		902022			26437
35		3.48794e+06			1.71506e+06
36		1.86257e+07			249349

probBLOCKS-11-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
19		1			1
20		5			4
21		18			16
22		104			121
23		340			223
24		2155			1015
25		7119			2932
26		43459			9556
27		155325			52234
28		871825			1.04114e+06
29		3.43459e+06			1.62102e+06
30		1.78368e+07			4.60059e+06
31		7.71017e+07			4.45335e+07

probBLOCKS-12-0.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
22		1			1
23		4			4
24		18			16
25		53			40
26		251			268
27		758			1132
28		3775			7084
29		14411			8248
30		68728			13000
31		383532			90484
32		1.64984e+06			339316
33		1.26149e+07			1.43828e+06
34		5.0582e+07			7.7448e+06

probBLOCKS-13-1.pddl
