	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 1 probe.

elevators-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
41		43			43
44		67			64
45		80			72
46		110			116
47		238			234
48		6151			8445
49		7273			3574
50		8284			18012
51		13667			2774
52		20942			16208
53		197301			54018
54		221219			86429

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
47		2			2
49		16			16
50		18			18
51		26			27
52		38			38
53		53			56
54		85			66
55		220			144
56		423			321
57		637			536
58		933			874
59		1680			1411
60		4098			2449
61		9672			11994
62		16567			6553
63		34415			13785
64		63281			37709
65		132436			133946
66		228638			119610
67		590938			300732
68		1.27297e+06			1.75338e+06

p29.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
36		4			4
37		10			10
38		13			13
39		43			43
41		172			131
42		230			486
43		343			361
44		462			363
45		2666			1413
46		4683			4396
47		6431			2434
48		14528			15831
49		55800			19820
50		194389			60313
51		301828			104990
52		973356			62621

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
44		6313			5623
45		19029			27185
46		32437			34024
47		396527			144997

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
35		1			1
38		2			2
42		3			3
44		6			6
45		13			11
47		22			18
48		27			30
49		43			37
50		76			55
51		116			60
52		254			221
53		316			247
54		601			667
55		1259			901
56		2011			866
57		6843			8260
58		13642			20727
59		79238			448244
60		150356			56372
61		421058			1.48408e+06
62		695139			204660
63		1.20924e+06			18680

p25.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
37		1			1
38		22			22
39		58			76
40		781			115
41		1034			827
42		1131			1041
43		1220			1119
44		1403			1147
45		6586			7440
46		17763			2220
47		113047			5293
48		119624			164589
49		156771			59197
50		760643			1.22667e+06
51		1.09713e+06			719492

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
30		1			1
35		4			4
36		5			5
37		7			7
39		9			11
40		24			37
41		39			16
42		63			27
43		72			94
44		142			71
45		237			97
46		351			123
47		715			196
48		1322			376
49		2793			1999
50		4289			1820
51		7543			4166
52		13977			11728
53		40581			3448
54		315850			5565

p13.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
38		8			8
40		344			417
43		2363			3408
44		2924			1512
45		7956			6461
46		12164			8185
47		30536			22149
48		73915			29549
49		144038			89889
50		412800			159013
51		635663			264738
52		1.47016e+06			1.35061e+07

p30.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
28		67			67
29		89			89
30		111			111
31		532			511
32		4224			5548
33		5660			12899
34		11170			3971
35		13632			9605
36		214714			39777
37		292809			12864
38		486590			771884
39		2.16181e+06			80409

p05.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
37		1844			1025
38		23005			6652
39		108796			58007
40		394827			223925
41		417408			32979
42		592208			167899

p22.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
27		1			1
32		96			67
33		339			243
34		556			544
35		921			1146
36		1469			1420
37		2406			1505
38		7367			19782
39		25377			12910
40		58506			384390
41		114624			60314
42		218072			59537
43		471333			18113
44		849232			216026

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
25		1			1
26		4			4
27		7			7
31		10			10
32		22			22
33		94			65
34		134			86
35		300			175
36		1106			3988
37		1395			882
38		2336			1793
39		3365			6679
40		8311			6313
41		25877			1961
42		46072			9285

p10.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
23		1			1
27		10			10
29		127			43
30		370			406
31		590			526
32		716			720
33		1329			1785
34		14520			19353
35		29513			26141
36		101576			45127
37		150940			178325

p04.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
26		26			26
27		51			51
30		76			76
31		6679			6679
32		10617			8293
33		16735			13508
34		21101			10638
36		24724			37292
37		1.03568e+06			137142

p26.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
33		1887			1895
34		21313			21558
35		183162			341043
36		806032			1.11036e+06

p06.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
25		1			1
27		19			19
28		37			37
32		1162			1117
33		1389			1324
34		2988			2877
35		3897			5486
36		3987			1302
37		15009			2698
38		17934			3436
39		147530			16925
40		369561			911055
41		656115			136787

p17.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
48		26			26
49		1302			1050
50		1640			1379
52		37241			50239
53		61745			10086
54		163576			111959

p20.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
45		50			50
46		64			64
47		97			88
48		140			162
49		3312			4304
50		3650			467
51		5912			3701
52		18427			16902
53		32334			34643
54		83845			35921
55		361091			125084

p28.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
33		13			13
35		38			38
36		75			75
38		339			603
39		589			421
40		5318			9007
41		14581			16248
42		83471			73948
43		98564			52395
44		223244			215022

p23.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
31		4			4
33		13			13
35		22			22
36		61			61
37		142			158
38		315			329
39		362			333
40		572			977
41		1038			996
42		5505			5084
43		12266			4358
44		19410			4966
45		93619			7636
46		169682			200341
47		357317			157798
48		838865			806212

p21.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
32		2			2
33		15			18
34		20			17
35		44			42
36		167			128
37		416			375
38		1066			970
39		2798			2148
40		8285			1581
41		19147			3803
42		44820			28983
43		70441			53454
44		132489			22539
45		656734			45635
46		2.36721e+06			229291
47		4.35356e+06			333950

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
26		1			1
32		4			4
33		6			6
34		9			9
35		14			14
36		23			23
37		60			57
38		147			108
39		206			131
40		351			261
41		438			287
42		583			402
43		836			570
44		2553			3948
45		8870			5497
46		24910			4189
47		56901			44113
48		120352			239106
49		251336			9014
50		682761			95926
51		1.14893e+06			1.35784e+06
52		6.15675e+06			3.36885e+06
