	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 1 probe.

floortile-opt11-strips

opt-p01-001.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
28		6			6
29		28			35
30		231			162
31		917			619
32		5258			1626
33		20682			21646
34		105783			39515
35		416177			55214
36		1.96012e+06			205296
37		7.77007e+06			62745
38		3.61606e+07			1.48212e+06

opt-p01-002.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
24		1			1
25		31			88
26		118			52
27		591			67
28		2214			2361
29		9456			3832
30		37208			5079
31		150454			200154
32		654579			373474
33		3.53239e+06			4.89229e+07
