	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 1 probe.

transport-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
337		3			3
348		6			6
349		7			7
353		9			9
357		11			11
358		13			13
363		16			16
364		19			21
367		23			22
369		25			24
371		29			28
374		36			38
375		39			38
376		41			40
377		42			43
378		46			43
379		54			54
382		55			52
383		65			72
384		71			74
386		72			75
387		74			64
388		81			92
389		89			104
390		111			160
391		112			144
392		113			144
393		124			157
394		129			135
395		169			154
396		172			146
397		186			158
398		196			162
399		202			351
400		226			220
401		235			413
402		261			467
403		271			222
404		287			298
405		302			261
406		305			261
407		332			263
408		347			219
409		396			318
410		423			418
411		424			523
412		457			401
413		502			476
414		518			559
415		547			485
416		598			583
417		651			550
418		682			433
419		733			468
420		766			291
421		909			546
422		944			897
423		1005			1038
424		1122			586
425		1171			3208
426		1248			2335
427		1301			2379
428		1416			1269
429		1565			900
430		1659			725
431		1738			720
432		1783			2403
433		1891			3786
434		2036			671
435		2212			812
436		2441			5454
437		2517			2799
438		2686			7122
439		2935			7736
440		3057			7872
441		3333			1146
442		3530			1855
443		3819			6469
444		3998			9334
445		4231			1832
446		4600			3664
447		5152			3440
448		5390			8010
449		5741			5477
450		6285			11325
451		6660			6763
452		7066			3796
453		7477			5449
454		8082			6120
455		8939			2884
456		9454			3285
457		9963			3376
458		10563			2987
459		11201			18473
460		11928			12527
461		12604			14301
462		13761			15557
463		14640			13679
464		15531			13760
465		16770			7486
466		17492			17522
467		19277			9374
468		20550			64348
469		22074			14651
470		23628			25153
471		24858			14354
472		26717			11919
473		29274			15580
474		31053			43883
475		33345			32665
476		35888			15999
477		37950			17784
478		40223			15852
479		42763			32275
480		46182			28149
481		50368			29911
482		53472			42604
483		56568			33127
484		60427			46152
485		64618			60725
486		68339			45444
487		72529			33479
488		78171			56259
489		84210			56329
490		132022			165839
491		181432			239578
492		414261			706613
493		736390			42745

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
379		6			6
380		7			7
381		8			8
382		12			12
383		13			13
384		16			16
386		17			17
389		19			18
390		24			26
391		32			33
392		41			42
393		43			44
394		45			43
395		49			53
396		51			50
397		61			58
398		84			82
399		93			101
400		95			89
401		103			97
402		114			98
403		152			169
404		195			222
405		219			202
406		269			251
407		325			351
408		382			340
409		466			659
410		514			681
411		604			800
412		708			647
413		796			992
414		938			635
415		1038			921
416		1236			1738
417		1381			1855
418		1578			1790
419		1839			1343
420		1967			1571
421		2244			1848
422		2523			1849
423		3069			4292
424		3650			3760
425		4097			3117
426		4745			4064
427		5323			5309
428		6303			4470
429		7192			9824
430		8552			4469
431		9952			7473
432		11528			9440
433		13320			9119
434		14911			10346

p29.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
391		279			351
392		341			354
393		401			365
394		441			418
395		500			521
396		578			857
397		677			622
398		783			710
399		865			560
400		982			805
401		1147			981
402		1299			1891
403		1483			1706
404		1706			1115
405		1961			1215
406		2180			1429
407		2466			1307
408		2873			2382
409		3315			4983
410		3875			2561
411		4496			3910
412		5105			3257
413		5804			10471
414		6599			6198
415		7683			6462
416		8784			8637
417		9775			6987
418		11069			10111
