	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 5000 probes.

elevators-opt08-strips

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
27		2			2
29		3			3
32		13			13
33		17			16.936
34		30			30.06
35		37			36.9476
36		41			41.044
37		155			155.763
38		199			198.078
39		600			604.474
40		851			842.527
41		1274			1258.06
42		3533			3613.35
43		5046			5149.49
44		19077			17540.1
45		27301			25732.4
46		89272			74383.5
47		183196			170267
48		759179			664121
49		2.6807e+06			2.99759e+06
50		3.48761e+06			2.77502e+06
51		8.18974e+06			6.91239e+06
52		1.41758e+07			1.19563e+07
53		5.78546e+07			4.16792e+07
54		2.09614e+08			3.40947e+08

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
30		1			1
35		11			11
36		56			56
37		600			597.815
38		5037			4980.75
39		5057			5058.97
40		5086			5032.85
41		6963			6826.93
42		33975			31026.7

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
39		2			2
41		3			3
44		659			660.775
45		660			665.577
46		671			667.135
47		691			691.905
48		697			696.778
49		39305			37328.3
50		53547			51677.6
51		89556			82114.8
52		105799			102764
53		147355			121093
54		1.16584e+06			1.09588e+06
55		2.20403e+06			2.03455e+06
56		7.35599e+06			6.29612e+06

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		13			13
12		522			506.891
13		2948			2796.02
14		3313			3233.95
15		4207			4061.61
18		41998			38833.4
19		161204			148879
20		627376			488971
21		754784			640702
22		1.04252e+06			808059
23		1.0846e+06			769746
24		2.70247e+06			3.70535e+06
25		1.85463e+07			1.89488e+07
26		4.93181e+07			3.82738e+07
