	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 5000 probe

elevators-opt11-strips

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
39		2			2
41		3			3
44		659			659.98
45		660			668.068
46		671			671.04
47		691			697.03
48		697			699.92
49		39305			40116.8
50		53547			51576.5
51		89556			81474.6
52		105799			115474
53		147355			135136
54		1.16584e+06			1.07137e+06
55		2.20403e+06			1.8082e+06
56		7.35599e+06			9.0454e+06

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
27		2			2
29		3			3
32		13			13
33		17			16.9952
34		30			29.862
35		37			36.9748
36		41			40.9988
37		155			155.144
38		199			199.177
39		600			595.567
40		851			853.368
41		1274			1255.97
42		3533			3606.69
43		5046			5089.73
44		19077			19225.5
45		27301			24932.1
46		89272			93244.9
47		183196			177806
48		759179			789105
49		2.6807e+06			3.71776e+06
50		3.48761e+06			3.67615e+06
51		8.18974e+06			1.53802e+07
52		1.41758e+07			9.05618e+06
53		5.78546e+07			3.66579e+07
54		2.09614e+08			1.28339e+08
