	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 5000 probe

parking-opt11-strips

pfile05-018.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		2			2
15		44			44.2106
16		999			979.884
17		21077			21059.8
18		416444			410193
19		7.95364e+06			8.20981e+06
20		1.47668e+08			1.45314e+08

pfile03-011.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			0
9		9			9.022
10		88			87.5572
11		824			822.538
12		7675			7672.83
13		73959			72901.3
14		705194			689887

pfile03-012.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
12		1			1
13		10			9.9364
14		181			179.124
15		2790			2743.43
16		40452			40538
17		559487			576294
18		7.42186e+06			7.44858e+06
19		9.59479e+07			9.49036e+07
20		1.21158e+09			1.18948e+09

pfile04-015.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
13		2			2
14		30			29.9888
15		554			558.974
16		9398			9498.78
17		155074			151948
18		2.46534e+06			2.53379e+06
19		3.85537e+07			3.96526e+07

pfile04-013.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		1			1
15		18			18.0968
16		323			326.198
17		5183			5242.76
18		83069			85296.2
19		1.2925e+06			1.34366e+06
20		1.98186e+07			2.0165e+07
