	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 5000 probe

tidybot-opt11-strips

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		5			5
8		27			27
9		95			95
10		317			317.667
11		1084			1088.32
12		3543			3561.05
13		12073			12203.5
14		40910			41496.4
15		145044			146322
16		502302			505788
17		1.88258e+06			1.90414e+06

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
4		65			65

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		5			5
8		27			27
9		95			95
10		317			317.022
11		1084			1084.19
12		3543			3551.23
13		12173			12164.5
14		42555			42781.1
15		154176			152468
16		591627			577275
