	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 5000 probes.

barman-opt11-strips

pfile05-018.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		19			19
15		21			21
16		907			900.71
17		1059			1060.77
18		34825			34250.1
19		43965			42443.2
20		1.33168e+06			1.34897e+06
21		1.81181e+06			1.77208e+06
22		5.09419e+07			6.00382e+07

pfile01-004.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		9			9
15		11			11
16		207			205.168
17		279			278.696
18		3855			3861.24
19		5895			5936.51
20		71367			71174
21		122151			124317
22		1.32414e+06			1.26623e+06
23		2.50036e+06			2.50216e+06
24		2.46212e+07			2.33866e+07
25		5.06703e+07			5.58777e+07

pfile03-009.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		13			13
15		15			15
16		427			421.04
17		531			545
18		11311			10679.2
19		15579			16487.5
20		298075			299406
21		451419			551447
22		7.86258e+06			7.89039e+06
23		1.29751e+07			1.18773e+07

pfile05-019.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		19			19
15		21			21
16		907			902.124
17		1059			1075.04
18		34825			32625.3
19		43965			45887.4
20		1.33168e+06			1.18049e+06
21		1.81181e+06			1.76689e+06
22		5.09419e+07			5.14544e+07

pfile03-011.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		13			13
15		15			15
16		427			416.42
17		531			521.8
18		11311			11044.1
19		15579			16133.4
20		298075			288888
21		451419			483561
22		7.86258e+06			7.5359e+06
23		1.29751e+07			1.41838e+07

pfile05-017.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		19			19
15		21			21
16		907			892.792
17		1059			1105.5
18		34825			35637.4
19		43965			48535.7
20		1.33168e+06			1.18213e+06
21		1.81181e+06			2.15708e+06
22		5.09419e+07			4.23978e+07

pfile03-012.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		13			13
15		15			15
16		427			421.1
17		531			551.56
18		11311			11582.6
19		15579			17074.3
20		298075			316315
21		451419			490320
22		7.86258e+06			7.12257e+06
23		1.29751e+07			1.47598e+07

pfile02-006.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		11			11
15		13			13
16		307			303.687
17		395			407.331
18		6921			7076.4
19		9973			10075.1
20		155157			156805
21		247955			248540
22		3.48326e+06			3.41028e+06
23		6.10424e+06			6.40554e+06
24		7.83038e+07			7.55335e+07
25		1.49012e+08			1.55564e+08

pfile02-005.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		11			11
15		13			13
16		307			304.634
17		395			399.606
18		6921			6888.3
19		9973			10481.7
20		155157			161020
21		247955			246271
22		3.48326e+06			3.44402e+06
23		6.10424e+06			5.86278e+06
24		7.83038e+07			7.65696e+07
25		1.49012e+08			1.65705e+08

pfile04-014.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		17			17
15		19			19
16		727			725.282
17		863			913.325
18		25023			25426.3
19		32335			35267.6
20		857487			796011
21		1.2011e+06			1.41318e+06
22		2.93992e+07			2.86815e+07
23		4.43656e+07			4.25461e+07

pfile02-008.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		11			11
15		13			13
16		307			305.907
17		395			406.058
18		6921			6946.64
19		9973			10510.5
20		155157			158800
21		247955			253971
22		3.48326e+06			3.50095e+06
23		6.10424e+06			7.10497e+06
24		7.83038e+07			8.45809e+07
25		1.49012e+08			1.66136e+08

pfile02-007.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		11			11
15		13			13
16		307			305.315
17		395			403.868
18		6921			7033.74
19		9973			9740.95
20		155157			157622
21		247955			286113
22		3.48326e+06			3.26152e+06
23		6.10424e+06			6.41667e+06
24		7.83038e+07			8.42413e+07
25		1.49012e+08			1.74306e+08

pfile05-020.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		19			19
15		21			21
16		907			902.124
17		1059			1074.71
18		34825			32815.2
19		43965			42355.9
20		1.33168e+06			1.39297e+06
21		1.81181e+06			1.84549e+06
22		5.09419e+07			5.63572e+07

pfile04-015.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
14		17			17
15		19			19
16		727			730.137
17		863			893.317
18		25023			25780
19		32335			35003.4
20		857487			902260
21		1.2011e+06			1.37289e+06
22		2.93992e+07			2.81608e+07
23		4.43656e+07			5.87095e+07

pfile01-003.pddl
