	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 5000 probes.

elevators-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
16		13			13
17		19			19
18		28			28
19		32			32
20		43			43
21		55			55.5304
22		313			311.796
23		847			838.322
24		1194			1176.06
25		1594			1534.29
26		2337			2073.45
27		6960			7062.85
28		28352			25302.9
29		66185			67932.8
30		129660			113107
31		193629			188200
32		307419			293861
33		756265			481766
34		3.3145e+06			1.46268e+06

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
15		2			2
16		5			5
17		8			8
18		10			10
19		12			12
20		13			13
21		19			19.004
22		48			48.6818
23		95			97.835
24		162			160.052
25		231			230.418
26		352			343.16
27		488			479.04
28		1204			1193.49
29		2393			2372.75
30		4532			4488.8
31		9400			8997.47
32		16325			15019.1
33		28455			26578.3
34		49595			44800.4
35		107135			95828.5
36		213294			186551
37		474677			457993
38		973874			806600
39		1.86169e+06			1.5266e+06
40		4.13713e+06			3.50892e+06
41		7.92244e+06			5.36575e+06

p29.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		4			4
15		19			19
16		34			34
17		40			40
18		43			43
20		169			171.729
21		566			562.443
22		1432			1385.49
23		2470			2309.24
24		3636			3371.42
25		5065			4519.2
26		11050			10119.8
27		36853			33820.2
28		128150			118676
29		431064			395557
30		955831			823574
31		1.61828e+06			889685
32		2.38876e+06			2.27874e+06

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
14		28			28
15		37			37
16		64			64
17		73			73
18		127			127
19		136			136
20		1148			1184.33
21		2921			2958.17
22		4804			4921.52
23		7260			7041.07
24		11828			10692.7
25		14473			13648.2
26		88113			82102.5
27		276970			229107
28		603169			434799
29		1.01236e+06			587067
30		1.78454e+06			1.15123e+06
31		2.56093e+06			1.16619e+06

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		2			2
15		4			4
16		8			8
18		11			11
19		12			12
20		20			20.1796
21		39			39.058
22		65			65.0996
23		120			119.984
24		153			153.599
25		227			225.977
26		301			301.314
27		563			562.858
28		1127			1102.7
29		2169			2121.85
30		4008			3955.35
31		5949			6009.37
32		8955			8784.13
33		13930			13433.3
34		30672			29503.4
