	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 5000 probes.

elevators-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			----zero_info----
14		75			----zero_info----
15		149			----zero_info----
16		371			----zero_info----
18		408			----zero_info----
19		1345			----zero_info----
20		17190			----zero_info----
21		78164			----zero_info----
22		91507			----zero_info----
23		146610			----zero_info----
24		167490			----zero_info----
25		543832			----zero_info----
26		4.77922e+06			2.86576e+06

p19.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
14		13			13
15		34			34
16		40			40
17		43			43
19		57			56.805
20		288			280.881
21		1043			984.209
22		2388			2255.32
23		3375			3428.87
24		3922			3859.44
25		4280			4067.07
26		18386			17652.2
27		79687			64791.1
28		244088			207272
29		518039			390676
30		837919			512131
31		1.04223e+06			775703
32		2.57002e+06			1.70578e+06
33		1.09466e+07			6.08991e+06

p18.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
14		28			28
15		37			37
16		64			64
17		73			73
18		127			127
19		136			136
20		1148			1164.85
21		2921			2949.67
22		4804			4718.72
23		7260			6668.17
24		11828			11231.9
25		14473			13404.4
26		88113			80370.8
27		276970			248084
28		603169			520483
29		1.01236e+06			755676
30		1.78454e+06			1.25249e+06
31		2.56093e+06			2.46865e+06

p15.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		7			7
15		19			19
16		25			25
17		31			31
19		40			39.8848
20		220			214.169
21		643			613.75
22		1338			1354.07
23		1823			1751.62
24		2114			1986.08
25		2399			2303.06
26		19517			17145.7
27		80119			68279.7
28		160934			132593
29		286874			211469
30		352495			298372
31		684574			566421
32		2.48411e+06			1.68567e+06
33		1.08448e+07			5.3251e+06

p12.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		19			19
15		55			55
16		82			82
17		100			100
19		685			696.583
20		3187			3031.07
21		8632			8584.98
22		13276			11863.2
23		16225			14598.2
24		17812			15410.3
25		97543			70367
26		1.03437e+06			695714
27		3.31267e+06			2.37989e+06
28		5.61709e+06			4.47521e+06

p13.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		23			23
15		89			89
16		155			155
17		199			199
18		221			221
20		4137			4202.99
21		16504			----zero_info----
22		35537			----zero_info----
23		57943			----zero_info----
24		66413			----zero_info----
25		131586			----zero_info----
26		769556			----zero_info----
27		4.4234e+06			----zero_info----

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
8		1			1
14		148			148
15		491			491
16		687			687
17		736			736
18		785			785
19		4165			4320.87
20		27328			26442
21		107203			96130.1
22		278777			199023
23		475980			293696
24		571604			346828
25		1.1772e+06			598063

p05.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
15		15			15
16		29			29
17		57			57
