	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 5000 probes.

tidybot-opt11-strips

p07.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
7		2			2
8		10			9.908
9		48			47.6852
10		227			223.994
11		963			945.393
12		3961			3902.07
13		16426			15811.3
14		64093			60674.3
15		257457			249844
16		975342			933406
17		3.78642e+06			3.53651e+06

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
1		1			1
2		8			8
3		49			49.0382
4		278			279.162

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
6		1			1
7		5			4.9936
8		25			24.822
9		115			113.428
10		497			496.215
11		2115			2123.2
12		8801			8586.95
13		35920			33484.4
14		145400			135070
15		574649			566835
16		2.27658e+06			2.14954e+06
