	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 5000 probes.

woodworking-opt11-strips

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
165		3			3
170		5			5
175		473593			476014
180		1.59286e+06			1.58453e+06
185		3.51675e+06			3.61788e+06
190		1.68693e+07			1.66206e+07
195		9.99192e+07			9.2279e+07

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
185		2			2
195		19			19.0628
200		21			20.9332
205		320			320.365
210		490			504.851
215		6.23222e+08			6.61402e+08

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
195		1			1
205		2849			2861.19
210		6228			6219.28
215		9807			9915.29
220		29094			30101.4
225		3.94547e+06			4.20882e+06
