	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 5000 probes.

transport-opt08-strips

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
53		1			1
54		15			15

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
244		1			1
274		3			3
304		7			7
334		15			15
364		31			31
394		63			63
410		65			64.112
424		129			130.538
439		133			134.538
454		261			261.605
455		265			265.595
456		291			283.541

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
115		1			1
117		15			14.976
118		17			16.976
119		75			74.6272
120		83			82.6272
121		317			317.039
122		349			349.039
123		1287			1282.63
124		1415			1410.63
125		5169			5137.15
126		5681			5697.05
127		20702			20534.6
128		22753			22666.9
129		82846			81186.9
130		91062			90108.9
131		1.90442e+06			1.92207e+06
